NTA Experiment Summary File
178.5,1106309,294419,303343,954367,722005,676089,165718,
179.5,1136427,282171,337746,987171,713324,691368,170081,
180.5,1164823,270949,375036,1011393,705646,705569,173578,
181.5,1191820,260726,414887,1026400,699260,718619,176202,
182.5,1217604,251472,456811,1031869,694362,730424,178013,
183.5,1242189,243154,500147,1027795,691065,740870,179136,
184.5,1265384,235740,544069,1014491,689398,749817,179739,
185.5,1286775,229195,587599,992560,689310,757088,180001,
186.5,1305710,223487,629638,962852,690675,762473,180078,
187.5,1321311,218584,669020,926416,693289,765724,180064,
188.5,1332482,214454,704560,884429,696872,766559,179956,
189.5,1337957,211069,735128,838141,701070,764673,179645,
190.5,1336359,208403,759718,788811,705458,759750,178921,
191.5,1326291,206431,777508,737650,709542,751484,177498,
192.5,1306445,205131,787917,685778,712769,739608,175060,
193.5,1275735,204486,790645,634194,714545,723921,171304,
194.5,1233433,204476,785687,583747,714251,704319,165991,
195.5,1179299,205089,773331,535132,711271,680824,158983,
196.5,1113684,206312,754130,488886,705025,653607,150271,
197.5,1037589,208134,728865,445398,695004,622998,139988,
198.5,952660,210546,698480,404919,680808,589483,128408,
199.5,861116,213542,664028,367584,662182,553690,115929,
200.5,765601,217115,626604,333425,639048,516359,103039,
201.5,668992,221258,587285,302397,611520,478290,90278,
202.5,574163,225966,547081,274393,579917,440304,78192,
203.5,483759,231234,506899,249262,544748,403180,67286,
204.5,399996,237054,467514,226823,506691,367616,57982,
205.5,324520,243418,429559,206878,466553,334186,50575,
206.5,258338,250316,393522,189223,425218,303323,45192,
207.5,201825,257735,359750,173656,383596,275313,41772,
208.5,154797,265659,328467,159980,342563,250293,40086,
209.5,116623,274069,299788,148009,302914,228281,39806,
210.5,86370,282939,273739,137569,265324,209188,40602,
211.5,62933,292242,250278,128504,230320,192855,42190,
212.5,45165,301942,229307,120671,198269,179071,44346,
213.5,31965,311998,210697,113941,169385,167597,46897,
214.5,22341,322365,194295,108204,143734,158188,49709,
215.5,15444,332988,179938,103360,121263,150598,52671,
216.5,10576,343807,167461,99323,101822,144598,55699,
217.5,7188,354757,156702,96021,85191,139972,58727,
218.5,4858,365765,147510,93390,71106,136526,61704,
219.5,3271,376754,139746,91378,59283,134086,64595,
220.5,2199,387640,133283,89942,49436,132500,67374,
221.5,1479,398337,128011,89046,41288,131632,70022,
