Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,Injection,tech_N,tech_mean,tech_sd,tech_se
1,48,BPS,145.0,79.5,25.0,1,3,1899783.3333333333,3240292.3264473123,1870783.6469274345
1,48,BPS,145.0,79.5,25.0,2,3,2698350.0,1584076.9940646824,914567.2789403376
1,48,BPS,145.0,80.5,25.0,1,3,2262483.3333333335,3841939.0530965393,2218144.546515423
1,48,BPS,145.0,80.5,25.0,2,3,3450475.0,2071384.4760208086,1195914.384825826
1,48,BPS,145.0,81.5,25.0,1,3,2688658.3333333335,4540116.316401853,2621237.377426822
1,48,BPS,145.0,81.5,25.0,2,3,4356333.333333333,2676695.7324205404,1545391.0016517215
1,48,BPS,145.0,82.5,25.0,1,3,3185466.6666666665,5341159.676882759,3083719.9772330355
1,48,BPS,145.0,82.5,25.0,2,3,5422350.0,3395322.695543827,1960290.4722578744
1,48,BPS,145.0,83.5,25.0,1,3,3759141.6666666665,6247808.866131256,3607174.1307062116
1,48,BPS,145.0,83.5,25.0,2,3,6647108.333333333,4211766.231666749,2431664.367616574
1,48,BPS,145.0,84.5,25.0,1,3,4414433.333333333,7257864.984377867,4190330.3024725206
1,48,BPS,145.0,84.5,25.0,2,3,8020558.333333333,5100544.0286020795,2944800.467926949
1,48,BPS,145.0,85.5,25.0,1,3,5154108.333333333,8363298.682350663,4828552.745568397
1,48,BPS,145.0,85.5,25.0,2,3,9524008.333333334,6028032.677330004,3480286.2889403384
1,48,BPS,145.0,86.5,25.0,1,3,5978525.0,9549715.346313994,5513530.725878685
1,48,BPS,145.0,86.5,25.0,2,3,11131175.0,6955737.241883494,4015896.7690137406
1,48,BPS,145.0,87.5,25.0,1,3,6885483.333333333,10796738.442966623,6233499.846416761
1,48,BPS,145.0,87.5,25.0,2,3,12810100.0,7843995.448868835,4528732.883926622
1,48,BPS,145.0,88.5,25.0,1,3,7870333.333333333,12079150.237659864,6973900.641294855
1,48,BPS,145.0,88.5,25.0,2,3,14525491.666666666,8655930.977310201,4997504.079836865
1,48,BPS,145.0,89.5,25.0,1,3,8926383.333333334,13368972.767202735,7718580.025933276
1,48,BPS,145.0,89.5,25.0,2,3,16241416.666666666,9360874.566324363,5404503.450717692
1,48,BPS,145.0,90.5,25.0,1,3,10045550.0,14637947.224316496,8451222.770342665
1,48,BPS,145.0,90.5,25.0,2,3,17923766.666666668,9936681.17181025,5736945.549396135
1,48,BPS,145.0,91.5,25.0,1,3,11219150.0,15860273.537422834,9156933.196252171
1,48,BPS,145.0,91.5,25.0,2,3,19542191.666666668,10370966.759189248,5987680.450174574
1,48,BPS,145.0,92.5,25.0,1,3,12438725.0,17014908.224131715,9823561.843439223
1,48,BPS,145.0,92.5,25.0,2,3,21071608.333333332,10661133.713644546,6155208.419439273
1,48,BPS,145.0,93.5,25.0,1,3,13696708.333333334,18087241.550370757,10442673.77800434
1,48,BPS,145.0,93.5,25.0,2,3,22493033.333333332,10813215.189564727,6243012.700500546
1,48,BPS,145.0,94.5,25.0,1,3,14986800.0,19069765.1514118,11009934.04355055
1,48,BPS,145.0,94.5,25.0,2,3,23793891.666666668,10840008.195809094,6258481.649868131
1,48,BPS,145.0,95.5,25.0,1,3,16304008.333333334,19961853.783064798,11524981.65517641
1,48,BPS,145.0,95.5,25.0,2,3,24968066.666666668,10758542.16228706,6211447.213484373
1,48,BPS,145.0,96.5,25.0,1,3,17644350.0,20768788.151875883,11990865.430227851
1,48,BPS,145.0,96.5,25.0,2,3,26015641.666666668,10587295.72652211,6112578.037697716
1,48,BPS,145.0,97.5,25.0,1,3,19004133.333333332,21500228.361946143,12413162.632408032
1,48,BPS,145.0,97.5,25.0,2,3,26942591.666666668,10343556.432458729,5971855.090658132
1,48,BPS,145.0,98.5,25.0,1,3,20379083.333333332,22168623.52899269,12799060.762027401
1,48,BPS,145.0,98.5,25.0,2,3,27760375.0,10041240.945066253,5797313.1626318935
1,48,BPS,145.0,99.5,25.0,1,3,21763258.333333332,22787628.77015637,13156443.604643041
1,48,BPS,145.0,99.5,25.0,2,3,28485383.333333332,9689642.62783764,5594317.779533334
1,48,BPS,145.0,100.5,25.0,1,3,23147983.333333332,23370772.94808268,13493122.052745162
1,48,BPS,145.0,100.5,25.0,2,3,29138258.333333332,9292957.800477646,5365291.687673602
1,48,BPS,145.0,101.5,25.0,1,3,24521008.333333332,23930516.081098385,13816289.901268821
1,48,BPS,145.0,101.5,25.0,2,3,29743150.0,8850653.69210094,5109927.291638633
1,48,BPS,145.0,102.5,25.0,1,3,25865941.666666668,24477491.285034876,14132086.182501605
1,48,BPS,145.0,102.5,25.0,2,3,30326816.666666668,8358453.7367241755,4825755.514906736
1,48,BPS,145.0,103.5,25.0,1,3,27162100.0,25019867.295973513,14445227.118419023
1,48,BPS,145.0,103.5,25.0,2,3,30917675.0,7809244.044680317,4508669.151363663
1,48,BPS,145.0,104.5,25.0,1,3,28384975.0,25562842.999055777,14758714.286756994
1,48,BPS,145.0,104.5,25.0,2,3,31544925.0,7194122.745295287,4153528.703579444
1,48,BPS,145.0,105.5,25.0,1,3,29507258.333333332,26108029.69486032,15073477.97233835
1,48,BPS,145.0,105.5,25.0,2,3,32237766.666666668,6502989.5872174315,3754502.788717318
1,48,BPS,145.0,106.5,25.0,1,3,30500375.0,26652776.863548853,15387987.89682096
1,48,BPS,145.0,106.5,25.0,2,3,33024658.333333332,5725050.460985766,3305359.424774323
1,48,BPS,145.0,107.5,25.0,1,3,31336525.0,27189665.10283595,15697960.46629811
1,48,BPS,145.0,107.5,25.0,2,3,33932691.666666664,4849047.704790429,2799598.9976740913
1,48,BPS,145.0,108.5,25.0,1,3,31990908.333333332,27706282.722429734,15996229.788038686
1,48,BPS,145.0,108.5,25.0,2,3,34987041.666666664,3863566.440344767,2230631.1243650555
1,48,BPS,145.0,109.5,25.0,1,3,32443866.666666668,28185552.527018756,16272936.338732617
1,48,BPS,145.0,109.5,25.0,2,3,36210366.666666664,2757429.508429605,1592002.66896325
1,48,BPS,145.0,110.5,25.0,1,3,32682791.666666668,28606864.389779046,16516180.856110053
1,48,BPS,145.0,110.5,25.0,2,3,37622008.333333336,1520510.857066905,877867.3526333262
1,48,BPS,145.0,111.5,25.0,1,3,32703333.333333332,28947842.27146012,16713044.52788633
1,48,BPS,145.0,111.5,25.0,2,3,39237108.333333336,157619.9569640004,91001.92458282286
1,48,BPS,145.0,112.5,25.0,1,3,32509958.333333332,29186668.857912827,16850931.121864438
1,48,BPS,145.0,112.5,25.0,2,3,41065433.333333336,1383637.9341100522,798843.7337194163
1,48,BPS,145.0,113.5,25.0,1,3,32115608.333333332,29304523.94667858,16918974.78908871
1,48,BPS,145.0,113.5,25.0,2,3,43110083.333333336,3052251.558515178,1762218.258943193
1,48,BPS,145.0,114.5,25.0,1,3,31540708.333333332,29287760.380450882,16909296.339614574
1,48,BPS,145.0,114.5,25.0,2,3,45365950.0,4861818.016506274,2806971.94058087
1,48,BPS,145.0,115.5,25.0,1,3,30811491.666666668,29129349.176693056,16817837.58848234
1,48,BPS,145.0,115.5,25.0,2,3,47818325.0,6796660.235687451,3924053.6166645754
1,48,BPS,145.0,116.5,25.0,1,3,29958075.0,28829564.538085293,16644756.846683234
1,48,BPS,145.0,116.5,25.0,2,3,50441716.666666664,8830542.723175814,5098316.218316047
1,48,BPS,145.0,117.5,25.0,1,3,29012391.666666668,28395699.823590513,16394264.936977793
1,48,BPS,145.0,117.5,25.0,2,3,53199250.0,10924987.090638826,6307544.237673513
1,48,BPS,145.0,118.5,25.0,1,3,28006308.333333332,27841121.926773325,16074079.238963772
1,48,BPS,145.0,118.5,25.0,2,3,56042891.666666664,13029085.562821873,7522346.056989876
1,48,BPS,145.0,119.5,25.0,1,3,26970058.333333332,27183775.2012383,15694559.930025207
1,48,BPS,145.0,119.5,25.0,2,3,58914850.0,15080811.882550456,8706910.799988613
1,48,BPS,145.0,120.5,25.0,1,3,25931008.333333332,26444431.103569962,15267699.416212631
1,48,BPS,145.0,120.5,25.0,2,3,61750033.333333336,17010139.499452475,9820808.618961973
1,48,BPS,145.0,121.5,25.0,1,3,24913025.0,25645096.76835174,14806203.52260188
1,48,BPS,145.0,121.5,25.0,2,3,64479816.666666664,18743936.983901177,10821817.063328726
1,48,BPS,145.0,122.5,25.0,1,3,23936050.0,24807505.89966422,14322620.209094368
1,48,BPS,145.0,122.5,25.0,2,3,67036575.0,20212127.213275325,11669477.08747947
1,48,BPS,145.0,123.5,25.0,1,3,23016175.0,23952052.759223476,13828724.108181793
1,48,BPS,145.0,123.5,25.0,2,3,69358508.33333333,21354438.236879665,12328990.664455714
1,48,BPS,145.0,124.5,25.0,1,3,22165900.0,23097068.9847895,13335098.995859575
1,48,BPS,145.0,124.5,25.0,2,3,71394283.33333333,22126928.974955115,12774988.400030067
1,48,BPS,145.0,125.5,25.0,1,3,21394533.333333332,22258481.153011277,12850940.085443273
1,48,BPS,145.0,125.5,25.0,2,3,73106741.66666667,22506974.45788101,12994407.761901634
1,48,BPS,145.0,126.5,25.0,1,3,20708750.0,21449771.765976906,12384031.503142802
1,48,BPS,145.0,126.5,25.0,2,3,74475141.66666667,22496320.391932063,12988256.634058045
1,48,BPS,145.0,127.5,25.0,1,3,20113116.666666668,20682255.760861974,11940905.93098235
1,48,BPS,145.0,127.5,25.0,2,3,75495808.33333333,22121361.369730577,12771773.941654937
1,48,BPS,145.0,128.5,25.0,1,3,19610575.0,19965413.48051988,11527036.847460337
1,48,BPS,145.0,128.5,25.0,2,3,76181050.0,21430968.781138312,12373175.594784671
1,48,BPS,145.0,129.5,25.0,1,3,19202925.0,19307435.072450068,11147152.836440269
1,48,BPS,145.0,129.5,25.0,2,3,76556725.0,20491941.56028169,11831027.976046715
1,48,BPS,145.0,130.5,25.0,1,3,18891166.666666668,18715762.864784148,10805550.72807233
1,48,BPS,145.0,130.5,25.0,2,3,76658741.66666667,19382865.08340442,11190702.373569742
1,48,BPS,145.0,131.5,25.0,1,3,18675841.666666668,18197637.98426758,10506411.188832248
1,48,BPS,145.0,131.5,25.0,2,3,76529308.33333333,18186888.422403608,10500204.92639641
1,48,BPS,145.0,132.5,25.0,1,3,18557150.0,17760557.43403061,10254062.615495384
1,48,BPS,145.0,132.5,25.0,2,3,76213166.66666667,16984283.050263215,9805880.391062265
1,48,BPS,145.0,133.5,25.0,1,3,18535125.0,17412614.800070234,10053177.842115812
1,48,BPS,145.0,133.5,25.0,2,3,75754283.33333333,15845020.739500733,9148126.989265952
1,48,BPS,145.0,134.5,25.0,1,3,18609625.0,17162629.01934389,9908848.484319879
1,48,BPS,145.0,134.5,25.0,2,3,75193366.66666667,14822484.682997933,8557765.521787962
1,48,BPS,145.0,135.5,25.0,1,3,18780333.333333332,17020067.149954442,9826540.350651704
1,48,BPS,145.0,135.5,25.0,2,3,74566116.66666667,13948894.211556999,8053397.827940047
1,48,BPS,145.0,136.5,25.0,1,3,19046600.0,16994563.58604127,9811815.86116114
1,48,BPS,145.0,136.5,25.0,2,3,73902233.33333333,13234157.427617308,7640744.353332738
1,48,BPS,145.0,137.5,25.0,1,3,19407325.0,17095220.30417055,9869930.044468824
1,48,BPS,145.0,137.5,25.0,2,3,73225175.0,12668613.10325641,7314227.185424309
1,48,BPS,145.0,138.5,25.0,1,3,19860766.666666668,17329641.56476796,10005273.22237851
1,48,BPS,145.0,138.5,25.0,2,3,72552283.33333333,12229605.936014796,7060766.2792411875
1,48,BPS,145.0,139.5,25.0,1,3,20404325.0,17702847.83175789,10220743.9610884
1,48,BPS,145.0,139.5,25.0,2,3,71895308.33333333,11889760.916575797,6864556.6657853285
1,48,BPS,145.0,140.5,25.0,1,3,21034325.0,18216271.52007581,10517169.265747081
1,48,BPS,145.0,140.5,25.0,2,3,71261125.0,11624613.023908582,6711473.458578849
1,48,BPS,145.0,141.5,25.0,1,3,21745841.666666668,18867027.5819075,10892883.45322239
1,48,BPS,145.0,141.5,25.0,2,3,70652458.33333333,11417731.871477729,6592030.569532637
1,48,BPS,145.0,142.5,25.0,1,3,22532575.0,19647571.13295114,11343530.482531661
1,48,BPS,145.0,142.5,25.0,2,3,70068625.0,11263055.237451116,6502727.973240026
1,48,BPS,145.0,143.5,25.0,1,3,23386691.666666668,20545683.175188124,11862055.71187963
1,48,BPS,145.0,143.5,25.0,2,3,69506208.33333333,11164283.547946922,6445702.111716466
1,48,BPS,145.0,144.5,25.0,1,3,24298883.333333332,21544938.32587676,12438975.942118835
1,48,BPS,145.0,144.5,25.0,2,3,68959633.33333333,11132365.4084704,6427274.165297664
1,48,BPS,145.0,145.5,25.0,1,3,25258350.0,22625278.5811026,13062710.67928986
1,48,BPS,145.0,145.5,25.0,2,3,68421700.0,11181540.349863475,6455665.33094834
1,48,BPS,145.0,146.5,25.0,1,3,26252991.666666668,23763881.211203873,13720083.214278847
1,48,BPS,145.0,146.5,25.0,2,3,67883975.0,11324789.73712095,6538370.403242692
1,48,BPS,145.0,147.5,25.0,1,3,27269625.0,24936049.44902811,14396834.861922199
