particle_size,6_4000_2_00,6_4000_2_01,6_4000_2_02,6_4000_1_00,6_4000_1_01,6_4000_1_02,5_500_2_00,5_500_2_01,5_500_2_02,5_500_1_00,5_500_1_01,5_500_1_02,4_500_2_00,4_500_2_01,4_500_2_02,4_500_1_00,4_500_1_01,4_500_1_02,3_500_1_00,3_500_1_01,3_500_1_02,3_500_2_00,3_500_2_01,3_500_2_02,2_500_2_00,2_500_2_01,2_500_2_02,2_500_1_00,2_500_1_01,2_500_1_02,1_500_2_00,1_500_2_01,1_500_2_02,1_500_1_00,1_500_1_01,1_500_1_02
227.5,1926594,654659,1133085,559664,485368,522930,1061792,584427,2260193,1669835,503761,549064,316980,704198,34968,1046633,2351731,788914,734190,275688,986980,327438,1423063,836615,73590,172859,1084035,737873,449346,1417422,236060,109634,138670,124282,240555,183667
228.5,1842887,649787,1102572,610972,492246,521108,1037107,609913,2138593,1620427,513096,620743,355148,639445,36021,984073,2326693,760069,788565,236588,941023,304736,1392111,835075,75735,182200,1064204,726716,438664,1396473,236531,92536,134865,117977,219664,172355
229.5,1757760,645796,1072154,666240,500926,521227,1012646,634670,2009783,1566826,523508,700131,398449,577090,37619,923211,2276061,730536,845441,203232,897584,283889,1354761,834651,78605,193401,1040277,713458,427373,1361298,238446,78657,131720,112330,200891,162515
230.5,1672076,642656,1041934,725012,511386,523253,988342,658262,1876849,1509721,534940,786943,447224,517624,39816,864414,2201547,700563,904173,174923,856738,264798,1312029,835240,82231,206613,1012573,698141,415598,1312323,241743,67424,129203,107319,184109,154028
231.5,1586618,640340,1012007,786627,523607,527152,964138,680258,1742636,1449819,547326,880525,501735,461453,42687,807980,2105764,670399,963948,151006,818517,247360,1264956,836734,86655,222006,981466,680846,403461,1250543,246368,58358,127284,102921,169178,146785
232.5,1502078,638823,982460,850207,537565,532897,939983,700248,1609661,1387832,560592,979799,562128,408896,46328,754141,1992044,640283,1023791,130876,782911,231475,1214567,839019,91929,239762,947381,661682,391087,1177479,252264,51062,125937,99113,155950,140692
233.5,1419053,638083,953371,914651,553233,540463,915839,717863,1480057,1324454,574652,1083222,628401,360176,50863,703065,1864214,610443,1082568,113990,749878,217044,1161844,841975,98116,260075,910771,640793,378597,1095107,259373,45213,125143,95873,144278,135665
234.5,1338049,638102,924807,978653,570575,549821,891674,732783,1355542,1260352,589410,1188787,700359,315423,56446,654863,1726352,581091,1139015,99866,719352,203971,1107701,845476,105286,283143,872110,618349,366106,1005742,267629,40550,124884,93180,134020,131633
235.5,1259476,638863,896827,1040735,589543,560940,867469,744752,1237429,1196150,604756,1294043,777583,274682,63264,609593,1582547,552417,1191764,88085,691247,192164,1052958,849392,113515,309157,831875,594543,353724,911900,276951,36866,125148,91017,125040,128537
236.5,1183661,640355,869477,1099297,610071,573783,843214,753590,1126643,1132421,620568,1396174,859398,237915,71546,567269,1436683,524592,1239393,78287,665463,181535,998341,853591,122888,338295,790539,569588,341551,816150,287244,33997,125926,89369,117214,126330
237.5,1110847,642565,842794,1152687,632079,588302,818909,759197,1023759,1069677,636710,1492111,944853,205012,81562,527864,1292261,497759,1280482,70166,641891,172003,944469,857934,133492,370704,748552,543708,329679,720963,298389,31817,127209,88223,110426,124977
238.5,1041207,645488,816805,1199279,655458,604436,794562,761555,929053,1008367,653032,1578690,1032713,175808,93631,491318,1152273,472041,1313671,63464,620415,163490,891856,862284,145418,406491,706342,517135,318190,628582,310244,30227,128995,87571,104574,124452
239.5,974847,649117,791526,1237564,680076,622107,770193,760724,842551,948875,669373,1652829,1121476,150088,108126,457545,1019127,447533,1337738,57968,600914,155925,840913,866501,158757,445705,664301,490106,307156,540916,322638,29158,131280,87408,99564,124741
240.5,911818,653448,766964,1266243,705772,641215,745827,756842,764083,891515,685558,1711730,1209398,127606,125472,426441,894622,424310,1351657,53500,583268,149243,791960,870446,173596,488315,622780,462850,296638,459471,335373,28560,134065,87735,95315,125838
241.5,852125,658480,743116,1284301,732351,661638,721499,750111,693329,836538,701403,1753068,1294549,108093,146152,397883,779971,402422,1354668,49917,567358,143385,745229,873985,190021,534198,582092,435592,286690,385312,348218,28402,137349,88553,91756,127748
242.5,795732,664211,719972,1291081,759585,683222,697250,740787,629867,784133,716715,1775157,1374885,91270,170698,371740,675846,381901,1346326,47103,553063,138296,700878,876987,208105,583116,542503,408541,277353,319072,360918,28668,141132,89870,88825,130485
243.5,742572,670642,697513,1286320,787212,705785,673123,729170,573207,734433,731295,1777072,1448338,76857,199686,347874,582457,362762,1326533,44968,540268,133929,658998,879327,227913,634706,504235,381892,268664,260979,373192,29359,145414,91696,86468,134070
244.5,692554,677771,675713,1270169,814933,729110,649170,715589,522822,687518,744943,1758716,1512912,64579,233724,326144,499636,345003,1295561,43442,528860,130242,619627,880889,249493,688459,467468,355822,260649,210916,384741,30490,150195,94046,84639,138532
245.5,645566,685598,654541,1243179,842420,752943,625443,700385,478175,643422,757459,1720824,1566787,54175,273427,306410,426928,328609,1254040,42474,518728,127198,582758,881568,272877,743723,432341,330484,253328,168488,395257,32090,155470,96937,83300,143909
