particle_size,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02
269.5,0,0,0,17,0,0,0,0,0,0,45978,0
270.5,0,0,0,12,0,0,0,0,0,0,29963,1
271.5,0,0,0,8,0,0,0,0,0,0,18453,2
272.5,0,0,0,5,0,0,0,0,0,0,10748,4
273.5,0,0,0,4,0,0,0,0,0,0,5925,6
274.5,0,0,0,3,0,0,0,0,0,0,3093,10
275.5,0,0,0,2,0,0,0,0,0,0,1531,15
276.5,0,0,0,1,0,0,0,0,0,0,719,23
277.5,0,0,0,0,0,0,0,0,0,0,321,34
278.5,0,0,0,0,0,0,0,0,0,0,136,51
279.5,0,0,0,0,0,0,0,0,0,0,55,74
280.5,0,0,0,0,0,0,0,0,0,0,21,107
281.5,0,0,0,0,0,0,0,0,0,0,8,153
282.5,0,0,0,0,0,0,0,0,0,0,3,214
283.5,0,0,0,0,0,0,0,0,0,0,0,295
284.5,0,0,0,0,0,0,0,0,0,0,0,401
285.5,0,0,0,0,0,0,0,0,0,0,0,535
286.5,0,0,0,0,0,0,0,0,0,0,0,702
287.5,0,0,0,0,0,0,0,0,0,0,0,906
288.5,0,0,0,0,0,0,0,0,0,0,0,1150
289.5,0,0,0,0,0,0,0,0,0,0,0,1434
290.5,0,0,0,0,0,0,0,0,0,0,0,1757
291.5,0,0,0,0,0,0,0,0,0,0,0,2116
292.5,0,0,0,0,0,0,0,0,0,0,0,2503
293.5,0,0,0,0,0,0,0,0,0,0,0,2908
294.5,0,0,0,0,0,0,0,0,0,0,0,3319
295.5,0,0,0,0,0,0,0,0,0,0,0,3720
296.5,0,1,0,0,0,0,0,0,0,0,0,4095
297.5,0,3,0,0,0,0,0,0,0,0,0,4425
298.5,0,5,0,0,0,0,0,0,0,0,0,4696
299.5,0,10,0,0,0,0,0,0,0,0,0,4892
300.5,0,18,0,0,0,0,0,0,0,0,0,5004
301.5,0,32,0,0,0,0,0,0,0,0,0,5024
302.5,0,56,0,0,0,0,0,0,0,0,0,4951
303.5,0,96,0,0,0,0,0,0,0,0,0,4790
304.5,0,160,0,0,0,0,0,0,0,0,0,4549
305.5,0,264,0,0,0,0,0,0,0,0,0,4240
306.5,0,425,0,0,0,0,0,0,0,0,0,3879
307.5,0,671,0,0,0,0,0,0,0,0,0,3483
308.5,0,1035,0,0,0,0,0,0,0,0,0,3070
309.5,0,1564,0,0,0,0,0,0,0,0,0,2655
310.5,0,2310,0,0,0,0,0,0,0,0,0,2255
311.5,0,3339,0,0,0,0,0,0,0,0,0,1879
