particle_size,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02
98.5,5289,0,0,2422719,1640449,4513313,0,0,0,517,9584,97668,0,0,0,13521,0,0,5768254,11719826,4956809,2514988,1590259,1143990,9608491,10876926,14592244,13242468,11762814,7059678,14400924,16768121,11004799,0,0,0
99.5,11210,0,0,2287588,1731710,4145688,0,0,0,448,9026,91318,0,0,0,12585,0,0,6263419,13344612,5050244,2613136,1737159,1210762,10007603,11654330,15249734,13587025,12080743,8110917,14341867,17084975,10879279,0,0,0
100.5,21368,0,0,2162660,1858432,3765633,0,0,0,395,8454,85669,0,0,0,11784,0,1,6736275,14240912,5129520,2705311,1871530,1286697,10260401,12120268,15196797,13780197,12258319,9277491,14018453,16956886,10649112,0,0,0
101.5,36661,0,0,2047622,2023074,3388088,0,0,0,353,7883,80835,0,0,0,11118,0,1,7172326,14370184,5193367,2790393,1991106,1369848,10367021,12236531,14489723,13821573,12288911,10529136,13468646,16416549,10326714,0,0,0
102.5,56683,0,0,1942514,2227759,3024944,0,0,0,322,7323,76876,0,0,0,10582,0,2,7556667,13825105,5240165,2867289,2094575,1457682,10334696,12002481,13273082,13715759,12172319,11813289,12740345,15526053,9925597,0,0,0
103.5,79087,0,0,1847633,2473602,2684823,0,0,0,298,6786,73816,0,0,0,10173,0,2,7874998,12778142,5268247,2935005,2181527,1547229,10176096,11453484,11735719,13471981,11915287,13053535,11885270,14366708,9459785,0,0,0
104.5,99722,0,0,1763425,2759843,2373254,0,0,0,282,6276,71649,0,0,0,9887,0,3,8114732,11425778,5276160,2992712,2252317,1635321,9907480,10652611,10066074,13103493,11531247,14152481,10953623,13027925,8943351,0,0,0
105.5,113816,0,0,1690397,3082851,2093094,0,0,0,271,5798,70355,0,0,0,9718,0,4,8266094,9946386,5262890,3039809,2307893,1718881,9546926,9678348,8419885,12626808,11039284,15000563,9990145,11597073,8390031,0,0,0
106.5,117778,0,0,1629046,3435172,1845079,0,0,0,265,5354,69900,0,0,0,9665,0,5,8323034,8477706,5228012,3075972,2349614,1795240,9112842,8611707,6905041,12060780,10462503,15490891,9031759,10151625,7812903,0,0,0
107.5,110694,0,0,1579819,3804825,1628389,0,0,0,264,4946,70241,0,0,0,9729,0,6,8283844,7111260,5171784,3101182,2379070,1862416,8622847,7525611,5581347,11425590,9826033,15538190,8106670,8754244,7224130,0,0,0
108.5,94659,0,0,1543082,4175153,1441166,0,0,0,268,4573,71324,0,0,0,9910,0,8,8151369,5897490,5095167,3115734,2397942,1919304,8093044,6478144,4469435,10741721,9155004,15097690,7234611,7450734,6634740,0,0,0
109.5,73786,0,0,1519122,4525477,1280949,0,0,0,278,4235,73072,0,0,0,10214,0,9,7932771,4855581,4999788,3120229,2407886,1965755,7537640,5509906,3563044,10028981,8472750,14178543,6427818,6270388,6054460,0,0,0
110.5,52528,0,0,1508139,4832699,1145006,0,0,0,292,3930,75381,0,0,0,10649,0,11,7638898,3983840,4887851,3115543,2410457,2002535,6968838,4644679,2840570,9305652,7799448,12846983,5692397,5227988,5491590,0,0,0
111.5,34218,0,0,1510245,5073761,1030576,0,0,0,313,3656,78108,0,0,0,11224,0,14,7283327,3268448,4762015,3102784,2407067,2031178,6396922,3892192,2273951,8587835,7151297,11217099,5029781,4326704,4952937,0,0,0
112.5,20438,0,0,1525456,5228607,935026,0,0,0,341,3411,81057,0,0,0,11954,0,16,6881242,2689886,4625243,3083235,2398960,2053779,5830446,3251765,1834480,7889006,6540208,9431078,4438087,3561251,4443802,0,0,0
