particle_size,16_3_20_1_00,16_3_20_1_01,16_3_20_1_02,16_2_20_1_00,16_2_20_1_01,16_2_20_1_02,16_1_4_1_00,16_1_4_1_01,16_1_4_1_02,14_3_20_1_00,14_3_20_1_01,14_3_20_1_02,14_2_16_1_00,14_2_16_1_01,14_2_16_1_02,14_1_4_1_00,14_1_4_1_01,14_1_4_1_02
582.5,0,5463,97893,48664,25878,55357,0,53164,60,66664,229310,9,63075,26697,69377,6127,417639,862526
583.5,0,4780,92328,47056,25710,49004,0,52800,51,67280,224279,7,59031,25945,69394,5613,419970,824534
584.5,0,4168,86896,45333,25557,43049,0,52414,43,67899,219118,6,55132,25225,69435,5153,421958,785653
585.5,0,3621,81617,43509,25421,37527,0,52004,36,68521,213838,4,51383,24535,69500,4741,423567,746149
586.5,0,3135,76506,41597,25299,32456,0,51573,30,69143,208446,4,47788,23874,69587,4372,424763,706286
587.5,0,2704,71576,39611,25193,27848,0,51120,26,69763,202954,3,44350,23242,69698,4041,425513,666322
588.5,0,2324,66838,37566,25100,23703,0,50646,21,70379,197371,2,41071,22637,69831,3744,425784,626505
589.5,0,1990,62300,35479,25021,20010,0,50152,18,70987,191710,2,37952,22059,69986,3477,425546,587073
590.5,0,1698,57968,33365,24955,16754,0,49638,15,71587,185982,1,34993,21508,70162,3237,424771,548247
591.5,0,1443,53846,31241,24901,13911,0,49106,12,72174,180198,1,32194,20981,70360,3021,423432,510232
592.5,0,1222,49936,29122,24859,11453,0,48555,10,72748,174370,0,29554,20479,70579,2826,421507,473214
593.5,0,1031,46238,27024,24828,9350,0,47987,9,73304,168512,0,27070,20001,70819,2651,418975,437360
594.5,0,867,42751,24961,24808,7567,0,47403,7,73840,162634,0,24739,19546,71079,2492,415822,402815
595.5,0,726,39471,22948,24797,6071,0,46802,6,74354,156751,0,22558,19113,71358,2349,412034,369700
596.5,0,606,36394,20995,24796,4829,0,46187,5,74843,150873,0,20523,18702,71658,2220,407604,338116
597.5,0,503,33514,19116,24803,3807,0,45557,4,75304,145014,0,18629,18312,71976,2103,402530,308142
598.5,0,417,30827,17318,24818,2975,0,44913,3,75735,139186,0,16871,17943,72313,1997,396812,279833
599.5,0,344,28324,15610,24840,2303,0,44257,3,76133,133400,0,15244,17594,72669,1902,390457,253225
600.5,0,282,25998,13999,24869,1768,0,43589,2,76494,127670,0,13742,17264,73042,1815,383478,228336
601.5,0,231,23841,12489,24903,1344,0,42909,2,76818,122005,0,12360,16953,73432,1738,375891,205163
602.5,0,189,21845,11083,24942,1013,0,42219,1,77100,116417,0,11090,16661,73840,1667,367718,183687
603.5,0,153,20000,9783,24985,757,0,41520,1,77339,110917,0,9928,16386,74264,1604,358986,163876
604.5,0,124,18300,8588,25031,560,0,40812,0,77533,105515,0,8867,16129,74703,1547,349726,145684
605.5,0,100,16734,7498,25079,410,0,40096,0,77678,100220,0,7901,15889,75159,1495,339976,129052
606.5,0,80,15296,6510,25129,298,0,39373,0,77773,95042,0,7024,15665,75628,1449,329775,113915
607.5,0,64,13975,5621,25180,214,0,38643,0,77816,89988,0,6229,15458,76112,1408,319167,100200
608.5,0,51,12765,4825,25230,153,1,37908,0,77805,85065,0,5511,15267,76610,1371,308201,87826
609.5,0,41,11657,4118,25279,108,1,37168,0,77738,80281,0,4865,15091,77120,1339,296926,76710
610.5,0,32,10645,3494,25325,75,2,36424,0,77614,75642,0,4284,14931,77642,1311,285396,66768
611.5,0,25,9720,2947,25369,52,2,35677,0,77432,71154,0,3763,14785,78176,1286,273663,57913
612.5,0,20,8876,2471,25408,36,2,34928,0,77190,66819,0,3298,14654,78720,1264,261784,50059
613.5,0,16,8107,2059,25442,24,3,34176,0,76888,62643,0,2884,14538,79274,1246,249815,43122
614.5,0,12,7407,1706,25470,16,4,33424,0,76524,58628,0,2515,14436,79836,1231,237809,37020
615.5,0,9,6770,1405,25490,11,4,32671,0,76099,54776,0,2189,14349,80407,1219,225823,31674
616.5,0,7,6191,1149,25502,7,5,31919,0,75612,51089,0,1900,14275,80984,1209,213908,27010
617.5,0,6,5664,934,25505,5,7,31168,0,75063,47567,0,1646,14215,81568,1202,202116,22956
618.5,0,4,5186,755,25497,3,8,30419,0,74452,44210,0,1422,14169,82156,1198,190496,19446
619.5,0,3,4752,606,25478,2,10,29672,0,73781,41018,0,1226,14137,82748,1196,179092,16420
620.5,0,3,4358,484,25447,1,13,28929,0,73050,37989,0,1054,14118,83343,1197,167946,13820
621.5,0,2,4000,383,25402,0,16,28189,0,72259,35121,0,904,14114,83939,1200,157097,11595
622.5,0,1,3675,302,25344,0,19,27453,0,71411,32412,0,774,14122,84535,1205,146578,9698
623.5,0,1,3381,236,25270,0,24,26723,0,70506,29857,0,661,14145,85130,1213,136419,8087
624.5,0,0,3114,184,25180,0,29,25998,0,69546,27455,0,563,14181,85722,1223,126646,6722
625.5,0,0,2872,142,25073,0,36,25279,0,68534,25200,0,478,14232,86311,1235,117279,5572
626.5,0,0,2653,109,24949,0,45,24566,0,67471,23088,0,405,14296,86894,1250,108335,4605
627.5,0,0,2454,83,24806,0,55,23861,0,66360,21115,0,343,14374,87470,1267,99827,3794
628.5,0,0,2273,63,24644,0,68,23164,0,65204,19276,0,289,14467,88038,1286,91761,3118
629.5,0,0,2110,47,24463,0,83,22474,0,64004,17564,0,243,14574,88596,1307,84143,2555
630.5,0,0,1961,35,24263,0,103,21793,0,62765,15976,0,204,14695,89142,1331,76973,2088
631.5,0,0,1826,26,24041,0,126,21121,0,61488,14504,0,171,14832,89675,1358,70247,1702
632.5,0,0,1704,19,23800,0,154,20458,0,60178,13144,0,143,14984,90192,1387,63960,1384
633.5,0,0,1593,14,23537,0,188,19805,0,58836,11890,0,119,15151,90693,1418,58101,1123
634.5,0,0,1493,10,23253,0,230,19163,0,57468,10736,0,99,15334,91176,1452,52660,908
635.5,0,0,1401,7,22949,0,280,18530,0,56075,9677,0,82,15532,91638,1489,47624,733
636.5,0,0,1319,5,22624,0,341,17908,0,54661,8706,0,68,15748,92078,1528,42975,591
637.5,0,0,1244,4,22278,0,413,17298,0,53230,7819,0,56,15980,92494,1571,38699,475
638.5,0,0,1175,3,21912,0,499,16698,0,51786,7009,0,47,16229,92884,1616,34776,381
639.5,0,0,1114,2,21526,0,603,16110,0,50330,6272,0,38,16496,93246,1664,31188,305
640.5,0,0,1058,1,21121,0,725,15534,0,48867,5603,0,31,16781,93579,1716,27916,244
641.5,0,0,1007,0,20698,0,870,14970,0,47401,4996,0,26,17084,93880,1770,24940,194
642.5,0,0,962,0,20257,0,1041,14417,0,45934,4448,0,21,17407,94149,1829,22240,155
643.5,0,0,920,0,19798,0,1242,13877,0,44469,3952,0,17,17748,94382,1890,19798,123
644.5,0,0,883,0,19324,0,1476,13350,0,43010,3506,0,14,18110,94579,1955,17595,98
645.5,0,0,850,0,18836,0,1749,12834,0,41559,3105,0,11,18493,94737,2024,15611,77
646.5,0,0,820,0,18333,0,2065,12332,0,40119,2745,0,9,18896,94855,2097,13830,61
647.5,0,0,793,0,17818,0,2430,11842,0,38693,2423,0,7,19321,94931,2174,12235,48
648.5,0,0,770,0,17293,0,2849,11364,0,37284,2135,0,6,19768,94964,2255,10808,38
649.5,0,0,749,0,16757,0,3328,10899,0,35893,1878,0,5,20238,94951,2340,9536,30
650.5,0,0,730,0,16213,0,3872,10447,0,34523,1650,0,4,20731,94893,2430,8403,24
651.5,0,0,715,0,15663,0,4487,10008,0,33176,1447,0,3,21247,94787,2524,7396,19
652.5,0,0,701,0,15107,0,5179,9581,0,31853,1267,0,2,21788,94632,2623,6504,15
653.5,0,0,690,0,14548,0,5953,9167,0,30558,1108,0,2,22354,94426,2727,5714,12
654.5,0,0,681,0,13986,0,6814,8765,0,29290,967,0,2,22946,94170,2836,5015,9
655.5,0,0,674,0,13424,0,7765,8376,0,28051,843,0,1,23563,93862,2950,4399,7
656.5,0,0,669,0,12863,0,8810,7999,0,26844,734,0,0,24206,93501,3070,3856,6
657.5,0,0,666,0,12304,0,9950,7634,0,25667,638,0,0,24877,93086,3195,3378,4
658.5,0,0,665,0,11750,0,11188,7281,0,24523,554,0,0,25574,92617,3325,2958,3
659.5,0,0,666,0,11200,0,12520,6940,0,23413,481,0,0,26299,92094,3462,2590,3
660.5,0,0,669,0,10658,0,13945,6611,0,22335,416,0,0,27052,91517,3604,2267,2
661.5,0,0,674,0,10124,0,15458,6294,0,21292,360,0,0,27833,90884,3753,1984,2
662.5,0,0,680,0,9599,0,17051,5987,0,20284,311,0,0,28642,90197,3908,1736,1
663.5,0,0,689,0,9085,0,18717,5693,0,19310,269,0,0,29480,89456,4070,1519,1
664.5,0,0,700,0,8582,0,20442,5409,0,18370,232,0,0,30345,88660,4238,1330,0
665.5,0,0,713,0,8093,0,22213,5136,0,17464,199,0,0,31240,87811,4413,1165,0
666.5,0,0,728,0,7617,0,24015,4874,0,16593,172,0,0,32162,86909,4594,1020,0
667.5,0,0,745,0,7155,0,25828,4622,0,15756,148,0,0,33112,85956,4783,894,0
668.5,0,0,765,0,6709,0,27633,4380,0,14952,127,0,0,34089,84952,4979,784,0
