210.5,215179691,625706599,271948295,298942722,329112939,348178049,71871145,
211.5,225106315,621003296,269253333,302286814,341223468,351774645,69963945,
212.5,235591671,614883354,267348328,305091374,355494265,355681799,67811988,
213.5,246596850,607445613,266204075,307229032,371879194,359870953,65503087,
214.5,258072117,598805594,265789500,308583676,390282751,364306727,63150997,
215.5,269956016,589091420,266071378,309054168,410542877,368943172,60894804,
216.5,282174709,578439619,267013930,308557829,432412407,373719699,58893020,
217.5,294641584,566990982,268578322,307033457,455540478,378556964,57309050,
218.5,307257211,554886653,270722105,304443678,479455794,383353088,56286104,
219.5,319909696,542264579,273398611,300776438,503554284,387980722,55914251,
220.5,332475474,529256415,276556345,296045509,527094214,392285591,56199214,
221.5,344820586,515984955,280138404,290289957,549202093,396087199,57046073,
222.5,356802445,502562114,284081981,283572571,568892575,399182337,58266074,
223.5,368272087,489087457,288317977,275977357,585104787,401351933,59603846,
224.5,379076878,475647258,292770780,267606218,596756040,402371435,60774717,
225.5,389063606,462314027,297358249,258575054,602811665,402024520,61502466,
226.5,398081899,449146472,301991945,249009480,602366939,400119347,61552854,
227.5,405987832,436189807,306577650,239040434,594734074,396505959,60762485,
228.5,412647609,423476364,311016189,228799898,579524668,391092946,59064001,
229.5,417941186,411026432,315204578,218416948,556716406,383861110,56508340,
230.5,421765662,398849273,319037497,208014296,526692880,374871922,53283436,
231.5,424038312,386944274,322409067,197705459,490247503,364268923,49725642,
232.5,424699109,375302182,325214894,187592616,448546626,352271085,46312129,
233.5,423712630,363906394,327354336,177765163,403052673,339158239,43607036,
234.5,421069237,352734290,328732901,168298960,355414310,325249939,42126214,
235.5,416785491,341758567,329264711,159256195,307336259,310880245,42136560,
236.5,410903765,330948587,328874912,150685767,260444996,296371605,43522829,
237.5,403491077,320271700,327501929,142624114,216167370,282011238,45855644,
238.5,394637196,309694553,325099474,135096344,175636992,268032912,48595301,
239.5,384452108,299184361,321638172,128117592,139638338,254606114,51262771,
240.5,373062956,288710130,317106759,121694487,108592145,241833295,53512285,
241.5,360610595,278243811,311512737,115826658,82579131,229754586,55135779,
242.5,347245898,267761376,304882478,110508212,61393717,218358336,56039554,
243.5,333125976,257243775,297260729,105729130,44616225,207595167,56214636,
244.5,318410449,246677767,288709551,101476544,31691291,197393120,55709042,
245.5,303257908,236056577,279306713,97735885,22001737,187671764,54604593,
246.5,287822668,225380372,269143615,94491884,14930133,178353734,52998980,
247.5,272251915,214656519,258322830,91729420,9903919,169372921,50992967,
248.5,256683308,203899607,246955365,89434239,6423337,160679171,48682176,
249.5,241243067,193131222,235157761,87593535,4074025,152239922,46152635,
250.5,226044570,182379479,223049151,86196415,2527668,144039457,43479151,
251.5,211187437,171678308,210748383,85234258,1534608,136076599,40725598,
252.5,196757087,161066515,198371326,84700984,912068,128361596,37946376,
253.5,182824707,150586660,186028440,84593232,530888,120912785,35188482,
254.5,169447589,140283788,173822689,84910470,302787,113753465,32493830,
255.5,156669772,130204056,161847834,85655032,169304,106909200,29901642,
256.5,144522918,120393335,150187147,86832075,92863,100405668,27450806,
257.5,133027368,110895826,138912549,88449482,49997,94267044,25182133,
258.5,122193309,101752760,128084155,90517672,26439,88514867,23140247,
259.5,112022010,93001243,117750196,93049332,13743,83167305,21374571,
260.5,102507064,84673276,107947289,96059049,7027,78238741,19938301,
261.5,93635616,76795005,98700982,99562837,3537,73739595,18883993,
262.5,85389530,69386201,90026541,103577531,1754,69676311,18255079,
263.5,77746477,62460008,81929897,108120056,857,66051459,18075184,
264.5,70680933,56022920,74408726,113206530,414,62863905,18340374,
265.5,64165074,50075000,67453577,118851220,197,60109014,19019454,
266.5,58169555,44610290,61049024,125065329,93,57778858,20062543,
267.5,52664189,39617390,55174797,131855622,43,55862408,21412817,
268.5,47618516,35080155,49806855,139222913,20,54345692,23015877,
269.5,43002279,30978479,44918381,147160432,9,53211916,24824560,
270.5,38785799,27289110,40480680,155652122,4,52441543,26799930,
271.5,34940280,23986471,36463976,164670924,2,52012331,28910116,
272.5,31438032,21043444,32838092,174177123,0,51899338,31128347,
273.5,28252637,18432101,29573020,184116861,0,52074924,33430934,
274.5,25359056,16124348,26639396,194420904,0,52508741,35795518,
