345.5,7236091,3927078,75001600,461702093,97731,109592919,89109151,
346.5,5831207,4562856,68244407,479543870,91615,111654791,92827930,
347.5,4686119,5304613,62004931,495569366,86625,113530331,96186806,
348.5,3756372,6167954,56262587,509478718,82619,115149650,99118362,
349.5,3004172,7170086,50994082,520995701,79484,116448705,101561768,
350.5,2397632,8329776,46174188,529876673,77134,117371081,103464156,
351.5,1910041,9667257,41776429,535918902,75501,117869626,104781965,
352.5,1519168,11204053,37773678,538967873,74538,117907862,105482165,
353.5,1206625,12962716,34138668,538923216,74213,117461088,105543271,
354.5,957286,14966464,30844418,535742929,74510,116517121,104956082,
355.5,758774,17238711,27864583,529445666,75425,115076632,103724092,
356.5,601012,19802488,25173718,520110948,76970,113153027,101863532,
357.5,475828,22679745,22747494,507877249,79170,110771897,99403040,
