"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prr29",2.08483829814263e-97,0.991039384287853,0.677,0.004,5.83713026713974e-93,"Ciliated cells","Prr29"
"Lrrc48",2.11958879088555e-97,1.00253038796031,0.68,0.004,5.93442469672137e-93,"Ciliated cells","Lrrc48"
"Cdh11",2.32998317646798e-97,1.23693079802968,0.93,0.211,6.52348689747504e-93,"Ciliated cells","Cdh1"
"Spef1",3.08011076711884e-97,1.00400834488681,0.732,0.028,8.62369412577934e-93,"Ciliated cells","Spef1"
"Cbx6",4.29749124431824e-97,1.14338382298987,0.863,0.1,1.20321159858422e-92,"Ciliated cells","Cbx6"
"PISD",7.40980615237153e-97,1.37747077523564,0.976,0.329,2.07459752654098e-92,"Ciliated cells","PISD"
"Alas1",1.07402659877531e-96,1.19325455724547,0.838,0.138,3.00705967125113e-92,"Ciliated cells","Alas1"
"Kcnmb2",1.74913579338462e-96,0.88090139502458,0.677,0.008,4.89723039431826e-92,"Ciliated cells","Kcnmb2"
"Rsph9",9.33625441566255e-96,1.0722619678222,0.707,0.019,2.6139645112972e-91,"Ciliated cells","Rsph9"
"Cldn31",1.90887921598155e-95,1.31508629626756,0.936,0.199,5.34448002890514e-91,"Ciliated cells","Cldn3"
"Stk33",8.40143365917603e-95,0.923059955751164,0.659,0.002,2.3522333958961e-90,"Ciliated cells","Stk33"
"Cldn71",1.30791811727582e-94,1.09906565365659,0.872,0.129,3.66190914474884e-90,"Ciliated cells","Cldn7"
"Zmynd10",8.0067224218271e-94,0.884460898502938,0.677,0.007,2.24172214366315e-89,"Ciliated cells","Zmynd10"
"Strbp",1.07380822299644e-93,1.04001977189589,0.802,0.076,3.00644826274544e-89,"Ciliated cells","Strbp"
"Sox2",1.14598728576472e-93,0.889441195136491,0.671,0.008,3.20853520268406e-89,"Ciliated cells","Sox2"
"B9d1",1.207413142109e-93,0.969742317730869,0.71,0.019,3.38051531527678e-89,"Ciliated cells","B9d1"
"Fam213a",1.67048548717341e-93,1.03962057956749,0.802,0.073,4.67702526698812e-89,"Ciliated cells","Fam213a"
"Cyp4b1",4.47786909691112e-93,0.957751844120563,0.823,0.072,1.25371378975318e-88,"Ciliated cells","Cyp4b1"
"Ddr1",5.90485888297946e-93,0.981010968396354,0.716,0.027,1.65324239005659e-88,"Ciliated cells","Ddr1"
"Vwa3a",6.18583010805115e-93,0.868859702557727,0.655,0.003,1.73190871365216e-88,"Ciliated cells","Vwa3a"
"Fbxo36",6.6463643047302e-93,1.01205344463702,0.692,0.019,1.86084907803836e-88,"Ciliated cells","Fbxo36"
"Zc2hc1a",1.00046893284655e-92,1.07897290803003,0.774,0.05,2.80111291818378e-88,"Ciliated cells","Zc2hc1a"
"Bbof1",1.30889743958475e-92,0.901599142960938,0.646,0.002,3.66465105134937e-88,"Ciliated cells","Bbof1"
"4931406C07Rik",5.17898508299366e-91,1.17593136420086,0.744,0.069,1.45001224353656e-86,"Ciliated cells","4931406C07Rik"
"Serpine2",9.61229596952702e-91,0.901824525172365,0.768,0.071,2.69125062554817e-86,"Ciliated cells","Serpine2"
"Calm16",1.24636371476651e-90,1.15142556913594,1,0.885,3.48956912860328e-86,"Ciliated cells","Calm1"
"Myh141",1.78070737325551e-90,0.976520313991752,0.838,0.126,4.98562450364076e-86,"Ciliated cells","Myh14"
"Cfap20",2.96138336576792e-90,1.0386109346418,0.848,0.141,8.29128114747702e-86,"Ciliated cells","Cfap20"
"Hes11",4.01266547704777e-90,1.25302567727894,0.942,0.253,1.12346608026383e-85,"Ciliated cells","Hes1"
"Eml2",4.33796965994363e-90,0.946990244090329,0.75,0.076,1.21454474539102e-85,"Ciliated cells","Eml2"
"Rsph10b",2.85106277309856e-89,0.879894395618379,0.64,0.003,7.98240555212136e-85,"Ciliated cells","Rsph10b"
"Ccdc30",3.13463641591596e-89,0.833148122896332,0.631,0.004,8.77635503728151e-85,"Ciliated cells","Ccdc30"
"Aebp1",3.27582019721494e-89,0.881890106110367,0.707,0.031,9.17164138816238e-85,"Ciliated cells","Aebp1"
"Tst",8.51132827154829e-89,1.18440860966232,0.863,0.11,2.38300168946809e-84,"Ciliated cells","Tst"
"Myb",1.4223889352162e-88,0.813520405581127,0.64,0.007,3.98240454081831e-84,"Ciliated cells","Myb"
"Mcee",1.42449312882372e-88,1.15338335309797,0.884,0.163,3.98829586208065e-84,"Ciliated cells","Mcee"
"Lca5",1.80389865169222e-88,0.835021349411997,0.631,0.009,5.05055544500787e-84,"Ciliated cells","Lca5"
"Lrrc74b",2.18546771801947e-88,0.940543062051842,0.628,0.004,6.11887251691093e-84,"Ciliated cells","Lrrc74b"
"Akap9",2.28550805101307e-88,1.10662213433303,0.905,0.201,6.39896544122639e-84,"Ciliated cells","Akap9"
"Lrriq1",3.6334574170851e-88,0.858713839139476,0.619,0.002,1.01729540763549e-83,"Ciliated cells","Lrriq1"
"Spag16",4.58440371817654e-88,0.865311654958292,0.637,0.003,1.28354135301507e-83,"Ciliated cells","Spag16"
"Oscp1",8.61192328978051e-88,0.788137438672427,0.625,0.01,2.41116628267275e-83,"Ciliated cells","Oscp1"
"Srsf10",9.06714654903072e-88,1.01315517520537,0.915,0.222,2.53861969079762e-83,"Ciliated cells","Srsf10"
"Ift88",1.33325408587059e-87,0.821019938494694,0.634,0.015,3.73284478962047e-83,"Ciliated cells","Ift88"
"Dcdc2a",1.7381995167399e-87,0.833297734128028,0.619,0.002,4.86661100696837e-83,"Ciliated cells","Dcdc2a"
"Hdc1",1.86292590456916e-87,1.28508911937708,0.924,0.164,5.21581994761273e-83,"Ciliated cells","Hdc"
"9530053A07Rik",3.11739100336006e-87,0.854446853875749,0.619,0.002,8.72807133120748e-83,"Ciliated cells","9530053A07Rik"
"Pdgfa",5.08840242251682e-87,0.943939355805428,0.784,0.073,1.42465091025626e-82,"Ciliated cells","Pdgfa"
"Tns3",7.21022073585912e-87,0.955744061868463,0.829,0.117,2.01871760162584e-82,"Ciliated cells","Tns3"
"Cd55",8.13934934123264e-87,0.918735361706183,0.826,0.118,2.27885502855831e-82,"Ciliated cells","Cd55"
"Fam167a",4.002878600126e-86,0.795157440620604,0.625,0.008,1.12072595046328e-81,"Ciliated cells","Fam167a"
"Fhdc1",9.73284028764564e-86,0.913869591034762,0.695,0.037,2.72500062373503e-81,"Ciliated cells","Fhdc1"
"Ttc25",1.30420430825928e-85,0.757831383856565,0.622,0.006,3.65151122226433e-81,"Ciliated cells","Ttc25"
"Fam13a",1.31863214054888e-85,0.813488683095458,0.662,0.027,3.69190626710874e-81,"Ciliated cells","Fam13a"
"Syt5",4.06577182443997e-85,0.832010052941032,0.61,0.002,1.1383347954067e-80,"Ciliated cells","Syt5"
"Ascc1",4.93507185910343e-85,1.09279924009342,0.78,0.092,1.38172141911178e-80,"Ciliated cells","Ascc1"
"Wfdc22",7.97048601256095e-85,1.41530785312363,0.997,0.362,2.23157667379681e-80,"Ciliated cells","Wfdc2"
"Cfap36",9.70873242198432e-85,0.973113759206998,0.78,0.099,2.71825090350717e-80,"Ciliated cells","Cfap36"
"Dnajb2",9.73344651402764e-85,0.944815372824739,0.762,0.079,2.72517035499746e-80,"Ciliated cells","Dnajb2"
"Igf1r",5.9441145724681e-84,0.883810100692205,0.735,0.065,1.66423319799962e-79,"Ciliated cells","Igf1r"
"Dalrd3",1.02126422052149e-83,0.859464513754994,0.759,0.09,2.85933556461607e-79,"Ciliated cells","Dalrd3"
"Akap14",1.50422017473923e-83,0.80248095089836,0.601,0.002,4.21151564523489e-79,"Ciliated cells","Akap14"
"Cep290",1.80210822885938e-83,0.930249566651833,0.68,0.028,5.04554261916048e-79,"Ciliated cells","Cep290"
"Mrps17",1.92042155777951e-83,1.07574286553892,0.909,0.22,5.37679627747107e-79,"Ciliated cells","Mrps17"
"Fsd1l",2.08823864866082e-83,0.858310514923139,0.637,0.015,5.84665056852057e-79,"Ciliated cells","Fsd1l"
"Pih1d2",2.16313675263695e-83,0.830406636743817,0.616,0.007,6.05635028003294e-79,"Ciliated cells","Pih1d2"
"Fank1",2.82157025324186e-83,0.83764004213322,0.598,0.002,7.89983239502655e-79,"Ciliated cells","Fank1"
"Slc25a17",3.336753965333e-83,0.897157194695253,0.765,0.105,9.34224375213934e-79,"Ciliated cells","Slc25a17"
"Hipk3",6.44641447943233e-83,0.917695698492744,0.805,0.122,1.80486712595146e-78,"Ciliated cells","Hipk3"
"Ttc39a",8.32615284482078e-83,0.841228460263941,0.637,0.019,2.33115627349292e-78,"Ciliated cells","Ttc39a"
"Dpy30",1.06746446838332e-82,1.01699677095672,0.899,0.25,2.98868701857963e-78,"Ciliated cells","Dpy30"
"Spint21",1.26750392081793e-82,1.1669832108767,0.973,0.303,3.54875747750605e-78,"Ciliated cells","Spint2"
"Phtf1",1.55395871085553e-82,0.86459596573264,0.674,0.036,4.35077359865332e-78,"Ciliated cells","Phtf1"
"Ttc29",4.08214418288428e-82,0.750119459729703,0.585,0.001,1.14291872832394e-77,"Ciliated cells","Ttc29"
"Ift172",4.70255965769308e-82,0.942009572676568,0.686,0.036,1.31662265296091e-77,"Ciliated cells","Ift172"
"Cetn2",4.90313840723641e-82,1.16348470166823,0.896,0.217,1.37278069125805e-77,"Ciliated cells","Cetn2"
"Mt13",6.33342934688087e-82,1.30202420962599,0.979,0.408,1.77323354853971e-77,"Ciliated cells","Mt1"
"Prdx64",9.60184370526984e-82,1.23624331787237,0.973,0.48,2.68832420060145e-77,"Ciliated cells","Prdx6"
"Maats1",1.19448531950468e-81,0.697712366817297,0.588,0.002,3.34431999754919e-77,"Ciliated cells","Maats1"
"Smco4",1.76011808488059e-81,0.968717529543911,0.768,0.079,4.92797861404866e-77,"Ciliated cells","Smco4"
"Dnah3",1.82313106958959e-81,0.824439782050409,0.585,0.002,5.10440236863695e-77,"Ciliated cells","Dnah3"
"Odc1",1.85180009166947e-81,1.01569637357887,0.811,0.124,5.18466989665619e-77,"Ciliated cells","Odc1"
"Akip1",2.03183280435023e-81,0.846160542435676,0.671,0.045,5.68872548561978e-77,"Ciliated cells","Akip1"
"Dnah10",2.4997238260519e-81,0.832029385059939,0.595,0.003,6.99872676818012e-77,"Ciliated cells","Dnah10"
"Mak",2.60066755526841e-81,0.766380643068153,0.61,0.015,7.28134902124051e-77,"Ciliated cells","Mak"
"Eno4",3.26769832997778e-81,0.770490498594913,0.579,0.002,9.14890178427178e-77,"Ciliated cells","Eno4"
"1110032A03Rik",5.25558360057617e-81,0.993911570829206,0.741,0.073,1.47145829648932e-76,"Ciliated cells","1110032A03Rik"
"Gstm2",8.60647210009669e-81,0.77228703814138,0.686,0.046,2.40964005858507e-76,"Ciliated cells","Gstm2"
"Dync2h1",1.18444292124211e-80,0.871743882376407,0.625,0.02,3.31620329089365e-76,"Ciliated cells","Dync2h1"
"Acsl3",1.48449614086507e-80,0.755193337229272,0.646,0.03,4.15629229519402e-76,"Ciliated cells","Acsl3"
"Cmbl",1.74339807142678e-80,0.764823864195239,0.616,0.018,4.8811659203807e-76,"Ciliated cells","Cmbl"
"Plekhb1",2.44727795651405e-80,0.95657139886296,0.78,0.089,6.85188882264804e-76,"Ciliated cells","Plekhb1"
"Tekt4",2.66870600341379e-80,0.776150421215203,0.588,0.002,7.47184306835792e-76,"Ciliated cells","Tekt4"
"Ulk4",2.83977438247617e-80,0.757431114389587,0.576,0.004,7.95080031605677e-76,"Ciliated cells","Ulk4"
"Uckl1os",2.95550059608884e-80,0.752768983006091,0.582,0.005,8.27481056892955e-76,"Ciliated cells","Uckl1os"
"Fam81b",3.64261948634947e-80,0.805183760009672,0.576,0.001,1.01986060378813e-75,"Ciliated cells","Fam81b"
"Wdr63",1.12013782084828e-79,0.809015837201347,0.576,0.002,3.13616187081102e-75,"Ciliated cells","Wdr63"
"Elmod1",1.49407335267711e-79,0.797335079742253,0.579,0.002,4.18310657282536e-75,"Ciliated cells","Elmod1"
"Rpgrip1l",1.50086724204137e-79,0.782104858868341,0.601,0.013,4.20212810426744e-75,"Ciliated cells","Rpgrip1l"
"Jag1",2.24575631687522e-79,0.882368559711866,0.665,0.043,6.28766853598725e-75,"Ciliated cells","Jag1"
"Net11",2.66843460275996e-79,0.900785014063617,0.814,0.141,7.47108320080733e-75,"Ciliated cells","Net1"
"Cfap54",4.25171852203305e-79,0.756823068424936,0.585,0.002,1.19039615179881e-74,"Ciliated cells","Cfap54"
"Erich3",4.37482114228296e-79,0.758657916259772,0.57,0.002,1.22486242341638e-74,"Ciliated cells","Erich3"
"Fam179a",5.19009753494027e-79,0.709210002859308,0.61,0.015,1.45312350783258e-74,"Ciliated cells","Fam179a"
"Ttll3",5.23951551712795e-79,0.866906823844066,0.662,0.031,1.46695955448548e-74,"Ciliated cells","Ttll3"
"Lrrc34",5.8905689635312e-79,0.676872162296059,0.57,0.002,1.64924149840946e-74,"Ciliated cells","Lrrc34"
"Nek1",6.84696529439206e-79,0.743072723439914,0.631,0.024,1.91701334312389e-74,"Ciliated cells","Nek1"
"Fhit",1.5083023987023e-78,0.774757270008189,0.576,0.007,4.2229450558867e-74,"Ciliated cells","Fhit"
"Ppp1r36",1.95739156222734e-78,0.823712413418527,0.576,0.002,5.48030489592412e-74,"Ciliated cells","Ppp1r36"
"Pla2g16",4.7207126522771e-78,1.05958254311667,0.863,0.168,1.32170512838454e-73,"Ciliated cells","Pla2g16"
"Lrrc36",1.39552697166523e-77,0.725870664081603,0.558,0.003,3.90719641526831e-73,"Ciliated cells","Lrrc36"
"Scnn1a",1.60022250431239e-77,0.92839558649074,0.771,0.123,4.48030296757384e-73,"Ciliated cells","Scnn1a"
"Ldlrad1",3.80443093941171e-77,0.75624253402834,0.552,0.002,1.06516457441649e-72,"Ciliated cells","Ldlrad1"
"S100a14",4.79271463926854e-77,1.11251713900578,0.96,0.363,1.34186424470241e-72,"Ciliated cells","S100a1"
