particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
184.5,38,2334,0,10428,57433,3388,9,0,7452,0,0,392
185.5,28,1751,0,6479,52281,1912,11,0,8107,0,0,270
186.5,20,1310,0,3848,47383,1044,14,0,8938,0,0,185
187.5,14,977,0,2184,42804,552,17,0,9970,0,0,126
188.5,10,729,0,1183,38587,282,21,0,11228,0,0,85
189.5,7,543,0,611,34757,139,26,0,12738,0,0,57
190.5,5,405,0,301,31323,66,32,0,14526,0,0,37
191.5,4,303,0,141,28279,31,38,0,16612,0,0,25
192.5,2,226,0,63,25612,14,44,0,19011,0,0,16
193.5,2,170,0,27,23300,6,51,0,21718,0,0,10
194.5,1,128,0,11,21320,2,57,0,24715,0,0,7
195.5,0,97,0,4,19644,0,63,0,27953,0,0,4
196.5,0,74,0,2,18249,0,69,0,31355,0,0,3
197.5,0,57,0,0,17109,0,72,0,34811,0,0,2
198.5,0,44,0,0,16205,0,75,0,38177,0,0,0
199.5,0,34,0,0,15518,0,75,0,41281,0,0,0
200.5,0,27,0,0,15036,0,73,0,43934,0,0,0
201.5,0,21,0,0,14749,0,70,0,45946,0,0,0
202.5,0,17,0,0,14653,0,65,0,47142,0,0,0
203.5,0,14,0,0,14747,0,59,0,47388,0,0,0
204.5,0,11,0,0,15038,0,52,0,46608,0,0,0
205.5,0,9,0,0,15536,0,45,0,44798,0,0,0
206.5,0,7,0,0,16257,0,38,0,42032,0,0,0
207.5,0,6,0,0,17226,0,31,0,38458,0,0,0
208.5,0,5,0,0,18474,0,25,0,34284,0,0,0
209.5,0,4,0,0,20038,0,20,0,29754,0,0,0
210.5,0,4,0,0,21967,0,15,0,25120,0,0,0
211.5,0,3,0,0,24318,0,12,0,20617,0,0,0
212.5,0,3,0,0,27159,0,9,0,16442,0,0,0
213.5,0,2,0,0,30569,0,6,0,12734,0,0,0
214.5,0,2,0,0,34638,0,5,0,9574,0,0,0
215.5,0,2,0,0,39466,0,3,0,6985,0,0,0
216.5,0,2,0,0,45162,0,2,0,4944,0,0,0
217.5,0,2,0,0,51839,0,2,0,3394,0,0,0
218.5,0,1,0,0,59613,0,1,0,2260,0,0,0
219.5,0,1,0,0,68592,0,0,0,1459,0,0,0
220.5,0,1,0,0,78872,0,0,0,913,0,0,0
221.5,0,1,0,0,90519,0,0,0,554,0,0,0
222.5,0,0,0,0,103565,0,0,0,326,0,0,0
223.5,0,0,0,0,117985,0,0,0,186,0,0,0
224.5,0,0,0,0,133687,0,0,0,103,0,0,0
225.5,0,0,0,0,150497,0,0,0,55,0,0,0
226.5,0,0,0,0,168149,0,0,0,29,0,0,0
227.5,0,0,0,0,186276,0,0,0,14,0,0,0
228.5,0,0,0,0,204416,0,0,0,7,0,0,0
229.5,0,0,0,0,222019,0,0,0,3,0,0,0
230.5,0,0,0,0,238470,0,0,0,2,0,0,0
231.5,0,0,0,0,253117,0,0,0,0,0,0,0
232.5,0,0,0,0,265310,0,0,0,0,0,0,0
233.5,0,0,0,0,274451,0,0,0,0,0,0,0
234.5,0,0,0,0,280035,0,0,0,0,0,0,0
235.5,0,0,0,0,281694,0,0,0,0,0,0,0
236.5,0,0,0,0,279237,0,0,0,0,0,0,0
237.5,0,0,0,0,272669,0,0,0,0,0,0,0
238.5,0,0,0,0,262198,0,0,0,0,0,0,0
239.5,0,0,0,0,248221,0,0,0,0,0,0,0
240.5,0,0,0,0,231301,0,0,0,0,0,0,0
241.5,0,0,0,0,212119,0,0,0,0,0,0,0
242.5,0,0,0,0,191428,0,0,0,0,0,0,0
243.5,0,0,0,0,169996,0,0,0,0,0,0,0
244.5,0,0,0,0,148552,0,0,0,0,0,0,0
245.5,0,0,0,0,127749,0,0,0,0,0,0,0
246.5,0,0,0,0,108123,0,0,0,0,0,0,0
247.5,0,0,0,0,90081,0,0,0,0,0,0,0
248.5,0,0,0,0,73891,0,0,0,0,0,0,0
249.5,0,0,0,0,59690,0,0,0,0,0,0,0
250.5,0,0,0,0,47500,0,0,0,0,0,0,0
251.5,0,0,0,0,37250,0,0,0,0,0,0,0
252.5,0,0,0,0,28797,0,0,0,0,0,0,0
253.5,0,0,0,0,21958,0,0,0,0,0,0,0
254.5,0,0,0,0,16520,0,0,0,0,0,0,0
255.5,0,0,0,0,12271,0,0,0,0,0,0,0
256.5,0,0,0,0,9004,0,0,0,0,0,0,0
257.5,0,0,0,0,6531,0,0,0,0,0,0,0
258.5,0,0,0,0,4685,0,0,0,0,0,0,0
259.5,0,0,0,0,3327,0,0,0,0,0,0,0
260.5,0,0,0,0,2340,0,0,0,0,0,0,0
261.5,0,0,0,0,1632,0,0,0,0,0,0,0
262.5,0,0,0,0,1129,0,0,0,0,0,0,0
263.5,0,0,0,0,776,0,0,0,0,0,0,0
264.5,0,0,0,0,530,0,0,0,0,0,0,0
265.5,0,0,0,0,360,0,0,0,0,0,0,0
266.5,0,0,0,0,244,0,0,0,0,0,0,0
267.5,0,0,0,0,164,0,0,0,0,0,0,0
268.5,0,0,0,0,111,0,0,0,0,0,0,0
269.5,0,0,0,0,75,0,0,0,0,0,0,0
270.5,0,0,0,0,50,0,0,0,0,0,0,0
271.5,0,0,0,0,34,0,0,0,0,0,0,0
272.5,0,0,0,0,23,0,0,0,0,0,0,0
273.5,0,0,0,0,16,0,0,0,0,0,0,0
274.5,0,0,0,0,11,0,0,0,0,0,0,0
275.5,0,0,0,0,7,0,0,0,0,0,0,0
276.5,0,0,0,0,5,0,0,0,0,0,0,0
277.5,0,0,0,0,4,0,0,0,0,0,0,0
278.5,0,0,0,0,2,0,1,0,0,0,0,0
279.5,0,0,0,0,2,0,2,0,0,0,0,0
280.5,0,0,0,0,1,0,3,0,0,0,0,0
281.5,0,0,0,0,0,0,4,0,0,0,0,0
282.5,0,0,0,0,0,0,6,0,0,0,0,0
283.5,0,0,0,0,0,0,9,0,0,0,0,0
284.5,0,0,0,0,0,0,13,0,0,0,0,0
285.5,0,0,0,0,0,0,19,0,0,0,0,0
286.5,0,0,0,0,0,0,28,0,0,0,0,0
287.5,0,0,0,0,0,0,40,0,0,0,0,0
288.5,0,0,0,0,0,0,58,0,0,0,0,0
289.5,0,0,0,0,0,0,83,0,0,0,0,0
290.5,0,0,0,0,0,0,117,0,0,0,0,0
291.5,0,0,0,0,0,0,164,0,0,0,0,0
292.5,0,0,0,0,0,0,227,0,0,0,0,0
293.5,0,0,0,0,0,0,313,0,0,0,0,0
294.5,0,0,0,0,0,0,425,0,0,0,0,0
295.5,0,0,0,0,0,0,571,0,0,0,0,0
296.5,0,0,0,0,0,0,759,0,0,0,0,0
297.5,0,0,0,0,0,0,996,0,0,0,0,0
298.5,0,0,0,0,0,0,1291,0,0,0,0,0
299.5,0,0,0,0,0,0,1654,0,0,0,0,0
300.5,0,0,0,0,0,0,2090,0,0,0,0,0
301.5,0,0,0,0,0,0,2605,0,0,0,0,0
302.5,0,0,0,0,0,0,3204,0,0,0,0,0
303.5,0,0,0,0,0,0,3886,0,0,0,0,0
304.5,0,0,0,0,0,0,4646,0,0,0,0,0
305.5,0,0,0,0,0,0,5475,0,0,0,0,0
306.5,0,0,0,0,0,0,6356,0,0,0,0,0
307.5,0,0,0,0,0,0,7270,0,0,0,0,0
308.5,0,0,0,0,0,0,8189,0,0,0,0,0
309.5,0,0,0,0,0,0,9083,0,0,0,0,0
310.5,0,0,0,0,0,0,9919,0,0,0,0,0
311.5,0,0,0,0,0,0,10663,0,0,0,0,0
312.5,0,0,0,0,1,0,11282,0,0,0,0,0
313.5,0,0,0,0,1,0,11746,0,0,0,0,0
314.5,0,0,0,0,2,0,12034,0,0,0,0,0
315.5,0,0,0,0,3,0,12129,0,0,0,0,0
316.5,0,0,0,0,4,0,12025,0,0,0,0,0
317.5,0,0,0,0,5,0,11728,0,0,0,0,0
318.5,0,0,0,0,6,0,11249,0,0,0,0,0
319.5,0,0,0,0,9,0,10612,0,0,0,0,0
320.5,0,0,0,0,12,0,9844,0,0,0,0,0
321.5,0,0,0,0,16,0,8980,0,0,0,0,0
322.5,0,0,0,0,22,0,8055,0,0,0,0,0
323.5,0,0,0,0,30,0,7104,0,0,0,0,0
324.5,0,0,0,0,41,0,6159,0,0,0,0,0
325.5,0,0,0,0,56,0,5251,0,0,0,0,0
326.5,0,0,0,0,76,0,4401,0,0,0,0,0
327.5,0,0,0,0,102,0,3626,0,0,0,0,0
328.5,0,0,0,0,138,0,2937,0,0,0,0,0
329.5,0,0,0,0,185,0,2339,0,0,0,0,0
330.5,0,0,0,0,247,0,1831,0,0,0,0,0
331.5,0,0,0,0,328,0,1409,0,0,0,0,0
332.5,0,0,0,0,433,0,1066,0,0,0,0,0
333.5,0,0,0,0,567,0,793,0,0,0,0,0
334.5,0,0,0,0,739,0,580,0,0,0,0,0
335.5,0,0,0,0,955,0,417,0,0,0,0,0
336.5,0,0,0,0,1225,0,294,0,0,0,0,0
337.5,0,0,0,0,1558,0,205,0,0,0,0,0
338.5,0,0,0,0,1967,0,140,0,0,0,0,0
339.5,0,0,0,0,2461,0,94,0,0,0,0,0
340.5,0,0,0,0,3052,0,62,0,0,0,0,0
341.5,0,0,0,0,3751,0,40,0,0,0,0,0
342.5,0,0,0,0,4567,0,26,0,0,0,0,0
343.5,0,0,0,0,5507,0,16,0,0,0,0,0
344.5,0,0,0,0,6575,0,10,0,0,0,0,0
345.5,0,0,0,0,7773,0,6,0,0,0,0,0
346.5,0,0,0,0,9095,0,4,0,0,0,0,0
347.5,0,0,0,0,10533,0,2,0,0,0,0,0
348.5,0,0,0,0,12071,0,1,0,0,0,0,0
349.5,0,0,0,0,13687,0,0,0,0,0,0,0
