particle_size,1_125_1_00,1_125_1_01,1_125_1_02,1_125_2_00,1_125_2_01,1_125_2_02,2_125_1_00,2_125_1_01,2_125_1_02,2_125_2_00,2_125_2_01,2_125_2_02,3_125_1_00,3_125_1_01,3_125_1_02,3_125_2_00,3_125_2_01,3_125_2_02,4_125_1_00,4_125_1_01,4_125_1_02,4_125_2_00,4_125_2_01,4_125_2_02,5_125_1_00,5_125_1_01,5_125_1_02,5_125_2_00,5_125_2_01,5_125_2_02,6_125_1_00,6_125_1_01,6_125_1_02,6_125_2_00,6_125_2_01,6_125_2_02
114.5,7206365,8270412,8043246,7715662,7390323,3487788,6273792,7124365,2149238,4146056,3834895,2738503,4738161,3114907,3602794,7624573,5704256,8531024,2062095,6468476,4439778,7984576,5708568,4588248,6330901,6310636,8265603,7547037,9442725,7727471,4966750,5614293,6035493,10188128,6915874,7577193
115.5,7438723,8255993,8004278,7448678,7165973,3327736,6208451,7176425,2084722,4142731,3720952,2647194,4234104,2947309,3523817,7641233,5760057,8633066,1841749,6788330,4368506,7778474,5526099,4480334,6227029,6351796,8176846,7540243,9126330,7481554,5092985,5812680,5719533,10208682,6739217,7439720
116.5,7665002,8220164,7929219,7250646,6947560,3188017,6120086,7193815,2033301,4142953,3615562,2564216,3768060,2791581,3436963,7629478,5822054,8662019,1674114,7084947,4315480,7573661,5359360,4378649,6156234,6426133,8056470,7533879,8796849,7263561,5227564,6023451,5406305,10171317,6599603,7269908
117.5,7879378,8162261,7823103,7115468,6736276,3068094,6010660,7171300,1994639,4146792,3519601,2490043,3343863,2652603,3344419,7590217,5886632,8616729,1551413,7348049,4280426,7373590,5207685,4282833,6116731,6529383,7908997,7527125,8461066,7073776,5364557,6240067,5103338,10079494,6497734,7075762
118.5,8075691,8082565,7691125,7035803,6533304,2967507,5882676,7104811,1968422,4154029,3433655,2424840,2962996,2533860,3248592,7525008,5949925,8499275,1467545,7567988,4262624,7180822,5070162,4192987,6106724,6657350,7739353,7519075,8125579,6911947,5497524,6455133,4816432,9937911,6433145,6864831
119.5,8247715,7982209,7538347,7003252,6339810,2885872,5739050,6991831,1954356,4164148,3358073,2368508,2625089,2437637,3151962,7435959,6007958,8314655,1418029,7736405,4260999,6997082,4945714,4109649,6124408,6805838,7552588,7508771,7796481,6777329,5619753,6660599,4549771,9752225,6404421,6643886
120.5,8389471,7863031,7369456,7008410,6156924,2822881,5582975,6831673,1952167,4176337,3293012,2320719,2328403,2365295,3056944,7325609,6056801,8070255,1399881,7846821,4274186,6823348,4833170,4033733,6167950,6970588,7353628,7495228,7479132,6668739,5724592,6848074,4306121,9528754,6409353,6418736
121.5,8495566,7727395,7188600,7040887,5985703,2778305,5417779,6625643,1961588,4189491,3238465,2280960,2070291,2317550,2965783,7196793,6092741,7775180,1411477,7895109,4300580,6659955,4731321,3966464,6235465,7147219,7147075,7477474,7178014,6584592,5805829,7009229,4087064,9274176,6445013,6194152
122.5,8561512,7577996,6999297,7089386,5827091,2751986,5246789,6377030,1982340,4202223,3194293,2248567,1847570,2294716,2880474,7052500,6112454,7439539,1452422,7879778,4338372,6506712,4638966,3909296,6324979,7331161,6937062,7454584,6896678,6522934,5858100,7136267,3893240,8995257,6507805,5973889
123.5,8584019,7417655,6804395,7141898,5681880,2743835,5073208,6090947,2014113,4212893,3160235,2222765,1656833,2296891,2802711,6895746,6113161,7073764,1523421,7802039,4385585,6363005,4554954,3863838,6434384,7517612,6727167,7425723,6637759,6481473,5877274,7222415,3724580,8698605,6593475,5760772
