particle_size,qEV6_mGWT16_20_no_00,qEV6_mGWT16_20_no_01,qEV6_mGWT16_20_no_02,qEV8_mGWT16_20_no_00,qEV8_mGWT16_20_no_01,qEV8_mGWT16_20_no_02,qEV7_mGWT16_20_no_00,qEV7_mGWT16_20_no_01,qEV7_mGWT16_20_no_02,TEI_mGWT16_500_no_00,TEI_mGWT16_500_no_01,TEI_mGWT16_500_no_02
273.5,0,0,0,75,22321,0,1,0,67589,74741,95254,0
274.5,0,0,0,52,21219,0,0,0,66016,74473,87046,3
275.5,0,0,0,36,20124,0,0,0,64225,73605,78404,9
276.5,0,0,0,24,19042,0,0,0,62239,72127,69571,25
277.5,0,0,0,16,17982,0,0,0,60082,70043,60787,66
278.5,0,0,0,10,16948,0,0,0,57780,67380,52277,168
279.5,0,0,0,7,15946,0,0,0,55360,64180,44235,400
280.5,0,0,0,4,14980,0,0,0,52850,60505,36817,899
281.5,0,0,0,3,14054,0,0,0,50275,56433,30134,1904
282.5,0,0,0,2,13172,0,0,0,47661,52053,24248,3795
283.5,0,0,0,1,12335,0,0,0,45035,47463,19180,7115
284.5,0,0,0,0,11546,0,0,0,42418,42767,14911,12544
285.5,0,0,0,0,10804,0,0,0,39831,38066,11394,20780
286.5,0,0,0,0,10112,0,0,0,37294,33457,8556,32332
287.5,0,0,0,0,9467,0,0,0,34823,29027,6315,47233
288.5,0,0,0,0,8870,0,0,0,32432,24851,4581,64767
289.5,0,0,0,0,8319,0,0,0,30132,20988,3267,83341
290.5,0,0,0,0,7813,0,0,0,27932,17480,2290,100619
291.5,0,0,0,0,7350,0,0,0,25840,14352,1578,113964
292.5,0,0,0,0,6928,0,0,0,23861,11614,1070,121085
293.5,0,0,0,0,6545,0,0,0,21996,9260,713,120679
294.5,0,0,0,0,6199,0,0,0,20247,7273,468,112826
295.5,0,0,0,0,5889,1,0,0,18614,5625,302,98956
296.5,0,0,0,0,5611,2,1,0,17095,4283,192,81427
297.5,0,0,0,0,5364,2,1,0,15686,3211,120,62872
298.5,0,0,0,0,5147,3,1,0,14384,2368,74,45558
299.5,0,0,0,0,4958,4,2,0,13185,1719,45,30988
300.5,0,0,0,0,4794,6,2,0,12083,1227,27,19789
301.5,0,0,0,0,4655,8,2,0,11073,861,16,11867
302.5,0,0,0,0,4539,12,3,0,10150,595,9,6685
303.5,0,0,0,0,4445,16,3,0,9307,404,5,3539
304.5,0,0,0,0,4373,22,4,0,8540,269,3,1761
305.5,0,0,0,0,4321,31,4,0,7842,177,2,824
306.5,0,0,0,0,4289,42,5,0,7209,114,0,362
307.5,0,0,0,0,4276,58,6,0,6634,72,0,150
308.5,0,0,0,0,4282,79,7,0,6114,45,0,58
309.5,0,0,0,0,4307,107,9,0,5643,27,0,21
310.5,0,0,0,0,4350,146,10,0,5217,16,0,7
311.5,0,0,0,0,4411,197,12,0,4832,10,0,2
312.5,0,0,0,0,4491,265,15,0,4485,6,0,0
313.5,0,0,0,0,4590,354,18,0,4171,3,0,0
314.5,0,0,0,0,4707,472,21,0,3888,2,0,0
315.5,0,0,0,0,4844,624,25,0,3632,0,0,0
316.5,0,0,0,0,5000,822,30,0,3402,0,0,0
317.5,0,0,0,0,5175,1075,36,0,3194,0,0,0
318.5,0,0,0,0,5370,1397,43,0,3006,0,0,0
319.5,0,0,0,0,5585,1804,51,0,2837,0,0,0
320.5,0,0,0,0,5820,2312,61,0,2684,0,0,0
321.5,0,0,0,0,6074,2943,72,0,2547,0,0,0
322.5,0,0,0,0,6348,3717,85,0,2423,0,0,0
323.5,0,0,0,0,6640,4658,101,0,2311,0,0,0
324.5,0,0,0,0,6951,5791,119,0,2211,0,0,0
325.5,0,0,0,0,7278,7138,139,0,2120,0,0,0
326.5,0,0,0,0,7620,8725,163,0,2039,0,0,0
327.5,0,0,0,0,7975,10571,191,0,1965,0,0,0
328.5,0,0,0,0,8341,12692,222,0,1899,0,0,0
329.5,0,0,0,0,8714,15099,258,0,1840,0,0,0
330.5,0,0,0,0,9092,17793,299,0,1787,0,0,0
331.5,0,0,0,0,9470,20767,346,0,1740,0,0,0
332.5,0,0,0,0,9845,24001,398,0,1698,0,0,0
333.5,0,0,0,0,10210,27462,456,0,1660,0,0,0
334.5,0,0,0,0,10562,31103,522,0,1626,0,0,0
335.5,0,0,0,0,10893,34863,594,0,1596,0,0,0
336.5,0,0,0,0,11200,38669,675,0,1570,0,0,0
337.5,0,0,0,0,11475,42434,764,0,1546,0,0,0
338.5,0,0,0,0,11713,46064,862,0,1526,0,0,0
339.5,0,0,0,0,11909,49459,969,0,1508,0,0,0
340.5,0,0,0,0,12057,52516,1085,0,1492,0,0,0
341.5,0,0,0,0,12152,55139,1210,0,1478,0,0,0
342.5,0,0,0,0,12191,57239,1346,0,1466,0,0,0
343.5,0,0,0,0,12170,58739,1491,0,1455,0,0,0
344.5,0,0,0,0,12087,59584,1646,0,1446,0,0,0
345.5,0,0,0,0,11942,59737,1810,0,1438,0,0,0
346.5,0,0,0,0,11733,59188,1983,0,1431,0,0,0
347.5,0,0,0,0,11463,57949,2165,0,1424,0,0,0
348.5,0,0,0,0,11134,56060,2355,0,1418,0,0,0
349.5,0,0,0,0,10750,53582,2552,0,1413,0,0,0
350.5,0,0,0,0,10316,50594,2755,0,1407,0,0,0
351.5,0,0,0,0,9837,47192,2963,0,1402,0,0,0
352.5,0,0,0,0,9321,43480,3176,0,1397,0,0,0
353.5,0,0,0,0,8774,39568,3391,0,1391,0,0,0
354.5,0,0,0,0,8205,35564,3608,0,1385,0,0,0
355.5,0,0,0,0,7622,31568,3824,0,1378,0,0,0
356.5,0,0,0,0,7031,27672,4038,0,1371,0,0,0
357.5,0,0,0,0,6442,23953,4249,0,1363,0,0,0
358.5,0,0,0,0,5861,20475,4454,0,1353,0,0,0
359.5,0,0,0,0,5294,17281,4652,0,1343,0,0,0
360.5,0,0,0,0,4749,14401,4841,0,1332,0,0,0
361.5,0,0,0,0,4228,11850,5019,0,1320,0,0,0
362.5,0,0,0,0,3738,9627,5186,0,1306,0,0,0
363.5,0,0,0,0,3280,7721,5338,0,1291,0,0,0
364.5,0,0,0,0,2858,6114,5475,0,1274,0,0,0
365.5,0,0,0,0,2471,4780,5596,0,1257,0,0,0
366.5,0,0,0,0,2121,3689,5698,0,1237,0,0,0
367.5,0,0,0,0,1807,2811,5782,0,1217,0,0,0
368.5,0,0,0,0,1528,2115,5846,0,1195,0,0,0
369.5,0,0,0,0,1282,1570,5890,0,1171,0,0,0
370.5,0,0,0,0,1068,1151,5914,0,1146,0,0,0
371.5,0,0,0,0,883,833,5916,0,1120,0,0,0
372.5,0,0,0,0,724,595,5898,0,1093,0,0,0
373.5,0,0,0,0,590,420,5860,0,1064,0,0,0
374.5,0,0,0,0,476,293,5801,0,1034,0,0,0
