particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_2_1_00,std_after_125_2_1_01,std_after_125_2_1_02,std_after_125_2_2_00,std_after_125_2_2_01,std_after_125_2_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_2_1_00,std_before_125_2_1_01,std_before_125_2_1_02,std_before_125_2_2_00,std_before_125_2_2_01,std_before_125_2_2_02
158.5,425536,830,43429,468461,370599,6,45976,35143,64238,35423,1122913,420683,30845,64941,106172,3269,391694,605077,244576,390,8,857,117772,36
159.5,482683,1413,39599,465040,317315,2,42471,15684,56524,27791,996067,414238,39899,75027,79150,2432,379746,561046,118170,76,2,775,129039,29
160.5,543367,2434,36303,462879,268452,0,39522,6390,50060,21748,867549,399268,52122,87714,57512,1814,369028,504764,48867,13,0,700,141535,24
161.5,605107,4216,33479,461408,224439,0,37070,2375,44701,16996,742074,376014,68418,103441,40752,1359,359633,440103,17292,2,0,633,154910,19
162.5,664413,7299,31074,460022,185471,0,35064,805,40313,13277,623544,345340,89779,122626,28172,1024,351567,371453,5239,0,0,571,168582,16
163.5,716863,12557,29040,458100,151537,0,33458,248,36773,10377,514879,308723,117155,145601,19010,778,344755,303163,1361,0,0,514,181702,13
164.5,757405,21334,27338,455033,122453,0,32214,70,33978,8119,417964,268142,151245,172502,12529,597,339048,239026,304,0,0,463,193165,10
165.5,780925,35588,25934,450252,97906,0,31298,18,31841,6363,333713,225876,192185,203137,8070,464,334222,181894,59,0,0,415,201673,9
166.5,783028,57940,24800,443272,77489,0,30683,4,30293,4997,262202,184240,239178,236846,5082,365,329979,133487,10,0,0,372,205876,7
167.5,760932,91532,23912,433723,60743,0,30345,0,29283,3932,202852,145313,290142,272366,3131,292,325950,94402,1,0,0,332,204595,6
168.5,714263,139513,23252,421389,47190,0,30265,0,28776,3099,154621,110697,341516,307759,1888,237,321698,64293,0,0,0,295,197079,5
169.5,645502,204022,22806,406233,36358,0,30426,0,28753,2447,116198,81383,388378,340451,1115,197,316725,42145,0,0,0,261,183245,4
170.5,559889,284715,22563,388397,27803,0,30815,0,29212,1934,86153,57719,425005,367422,645,166,310495,26577,0,0,0,231,163818,3
171.5,464700,377168,22516,368202,21120,0,31418,0,30166,1530,63070,39491,445875,385574,366,143,302460,16118,0,0,0,203,140297,3
172.5,368035,471913,22662,346114,15953,0,32224,0,31642,1210,45624,26078,446916,392228,204,126,292102,9398,0,0,0,178,114727,2
173.5,277405,554997,22999,322703,11993,0,33220,0,33680,955,32639,16638,426663,385667,111,114,278992,5267,0,0,0,155,89323,2
174.5,198521,610686,23530,298597,8985,0,34392,0,36336,753,23113,10272,386881,365588,60,106,262853,2838,0,0,0,135,66052,2
175.5,134597,625955,24260,274422,6716,0,35725,0,39673,591,16216,6150,332376,333309,31,100,243621,1469,0,0,0,117,46301,1
176.5,86292,595214,25196,250763,5015,0,37199,0,43760,462,11282,3580,269960,291651,16,97,221501,732,0,0,0,101,30724,1
177.5,52230,523030,26346,228124,3746,0,38793,0,48667,359,7793,2034,206910,244477,8,97,196991,350,0,0,0,86,19281,0
