particle_size,std_10000_no_1_00,std_10000_no_1_01,std_10000_no_1_02,std_10000_yes_1_00,std_10000_yes_1_01,std_10000_yes_1_02,std_10000_no_2_00,std_10000_no_2_01,std_10000_no_2_02,std_10000_yes_2_00,std_10000_yes_2_01,std_10000_yes_2_02,std_10000_no_3_00,std_10000_no_3_01,std_10000_no_3_02,std_10000_yes_3_00,std_10000_yes_3_01,std_10000_yes_3_02
161.5,1046,490528,40354,1510325,736781,2010087,328163,84,751405,94812,17,0,0,4426,1,38,430604,65221
162.5,722,465029,54112,1356905,848132,1733591,274668,44,686330,70846,8,0,0,2572,0,12,287309,86232
163.5,504,439947,73093,1205379,976203,1432006,228147,22,607401,52237,4,0,0,1457,0,4,175028,113915
164.5,357,415062,98967,1060879,1121789,1131099,188086,11,520150,37998,2,0,0,806,0,1,97310,149917
165.5,257,390165,133635,927033,1285075,853382,153916,5,430644,27261,1,0,0,436,0,0,49392,195977
166.5,188,365076,179026,806034,1465410,614686,125038,3,344569,19283,0,0,0,231,0,0,22913,253748
167.5,140,339654,236712,698856,1661088,422743,100848,1,266471,13442,0,0,0,121,0,0,9734,324508
168.5,106,313815,307323,605514,1869155,277796,80758,0,199295,9231,0,0,0,62,0,0,3796,408781
169.5,82,287547,389814,525356,2085293,174661,64214,0,144307,6241,0,0,0,31,0,0,1364,505888
170.5,65,260917,480732,457311,2303798,105282,50698,0,101321,4153,0,0,0,16,0,0,453,613495
171.5,53,234087,573760,400095,2517701,61002,39745,0,69121,2719,0,0,0,8,0,0,140,727276
172.5,43,207304,659882,352363,2719043,34086,30936,0,45929,1749,0,0,0,4,0,0,40,840820
173.5,37,180899,728419,312812,2899304,18439,23906,0,29810,1106,0,0,0,2,0,0,11,945917
174.5,32,155263,768973,280239,3049976,9699,18339,0,18960,687,0,0,0,0,0,0,3,1033312
175.5,28,130824,773870,253579,3163207,4985,13963,0,11860,419,0,0,0,0,0,0,0,1093890
176.5,25,108009,740374,231907,3232476,2517,10549,0,7323,251,0,0,0,0,0,0,0,1120135
177.5,23,87203,671831,214438,3253196,1256,7907,0,4482,147,0,0,0,0,0,0,0,1107571
178.5,22,68713,577159,200518,3223170,624,5878,0,2730,85,0,0,0,0,0,0,0,1055822
179.5,21,52738,468779,189602,3142847,310,4333,0,1662,48,0,0,0,0,0,0,0,968965
180.5,21,39348,359663,181242,3015326,155,3165,0,1016,26,0,0,0,0,0,0,0,855020
181.5,21,28483,260560,175072,2846113,79,2291,0,627,14,0,0,0,0,0,0,0,724641
182.5,22,19966,178254,170789,2642656,41,1642,0,391,8,0,0,0,0,0,0,0,589327
183.5,23,13527,115221,168142,2413729,22,1165,0,248,4,0,0,0,0,0,0,0,459592
184.5,24,8841,70439,166923,2168732,12,818,0,161,2,0,0,0,0,0,0,0,343524
185.5,26,5566,40787,166953,1916994,7,568,0,107,1,0,0,0,0,0,0,0,246031
186.5,29,3369,22411,168076,1667155,4,390,0,73,0,0,0,0,0,0,0,0,168832
187.5,32,1957,11711,170152,1426680,3,265,0,51,0,0,0,0,0,0,0,0,111029
188.5,37,1090,5836,173055,1201535,2,177,0,37,0,0,0,0,0,0,0,0,70005
189.5,42,581,2781,176664,996040,1,117,0,28,0,0,0,0,0,0,0,0,42349
190.5,49,296,1272,180864,812876,0,76,0,22,0,0,0,0,0,0,0,0,24604
191.5,58,144,560,185544,653221,0,49,0,18,0,0,0,0,0,0,0,0,13744
192.5,70,67,238,190596,516973,0,31,0,15,0,0,0,0,0,0,0,0,7394
193.5,84,30,99,195920,403028,0,19,0,14,0,0,0,0,0,0,0,0,3838
194.5,102,12,40,201419,309565,0,12,0,13,0,0,0,0,0,0,0,0,1925
195.5,124,5,16,207006,234322,0,7,0,12,0,0,0,0,0,0,0,0,936
196.5,153,2,6,212604,174829,0,4,0,12,0,0,0,0,0,0,0,0,442
197.5,189,0,2,218149,128606,1,3,0,13,0,0,0,0,0,0,0,0,203
198.5,235,0,0,223591,93297,1,1,0,14,0,0,0,0,0,0,0,0,91
199.5,294,0,0,228896,66765,2,0,0,16,0,0,0,0,0,0,0,0,40
200.5,367,0,0,234048,47145,3,0,0,18,0,0,0,0,0,0,0,0,17
201.5,460,0,0,239046,32861,5,0,0,22,0,0,0,0,0,0,0,0,7
202.5,577,0,0,243905,22617,8,0,0,28,0,0,0,0,0,0,0,0,3
203.5,723,0,0,248658,15377,14,0,0,35,0,0,0,0,0,0,0,0,1
204.5,905,0,0,253346,10333,25,0,0,46,0,0,3,0,0,0,0,0,0
205.5,1130,0,0,258027,6865,46,0,0,62,0,0,11,0,0,0,0,0,0
206.5,1407,0,0,262765,4513,88,0,0,86,0,0,37,0,0,0,0,0,0
207.5,1746,0,0,267631,2937,170,0,0,120,0,0,116,0,0,0,0,0,0
208.5,2156,0,0,272704,1893,334,0,0,170,0,0,351,0,0,0,0,0,0
209.5,2648,0,0,278064,1210,661,0,0,243,0,0,1006,0,0,0,0,0,0
210.5,3231,0,0,283793,767,1308,0,0,353,0,0,2720,0,0,0,0,0,0
211.5,3915,0,0,289976,483,2578,0,0,514,0,0,6906,0,0,0,0,0,0
212.5,4707,0,0,296696,302,5028,0,0,753,0,0,16381,0,0,0,0,0,0
213.5,5610,0,0,304035,188,9656,0,0,1105,0,0,36135,0,0,0,0,0,0
214.5,6624,0,0,312073,117,18170,0,0,1620,0,0,73823,0,0,0,0,0,0
215.5,7742,0,0,320891,72,33352,0,0,2369,0,0,139148,0,0,0,0,0,0
216.5,8951,0,0,330564,45,59455,0,0,3447,0,0,241154,1,0,0,0,0,0
217.5,10231,0,0,341166,28,102532,0,0,4982,0,0,383089,3,0,0,0,0,0
218.5,11552,0,0,352770,17,170439,0,0,7137,0,0,556289,6,0,0,0,0,0
219.5,12876,0,0,365445,11,272203,0,0,10118,0,0,736629,14,0,0,0,0,0
220.5,14159,0,0,379255,7,416449,0,0,14175,0,0,887649,31,0,0,0,0,0
221.5,15352,0,0,394264,4,608764,0,0,19593,0,0,971648,68,0,0,0,0,0
222.5,16401,0,0,410530,3,848341,0,0,26685,0,0,964751,145,0,0,0,0,0
223.5,17256,0,0,428107,2,1124814,0,0,35769,0,0,867863,306,0,0,0,0,0
224.5,17868,0,0,447044,1,1416678,0,0,47137,0,0,706693,633,0,0,0,0,0
225.5,18199,0,0,467384,0,1692629,0,0,61011,0,0,520576,1279,0,0,0,0,0
226.5,18225,0,0,489162,0,1916458,0,0,77497,0,0,346783,2517,0,0,0,0,0
227.5,17933,0,0,512406,0,2054705,0,0,96532,0,0,208884,4813,0,2,0,0,0
228.5,17331,0,0,537134,0,2084941,0,0,117840,0,0,113785,8919,0,4,0,0,0
229.5,16442,0,0,563351,0,2001808,0,0,140904,0,0,56073,15970,0,7,0,0,0
230.5,15306,0,0,591049,0,1818567,0,0,164955,0,0,25014,27566,0,15,0,0,0
231.5,13975,0,0,620203,0,1563532,0,0,189003,0,0,10109,45756,0,31,0,0,0
232.5,12510,0,0,650767,0,1272740,0,0,211892,0,0,3705,72870,0,64,0,0,0
233.5,10974,0,0,682674,0,981522,0,0,232392,0,0,1233,111100,0,131,0,0,0
234.5,9431,0,0,715827,0,717699,0,0,249308,0,0,373,161826,0,265,0,0,0
235.5,7936,0,0,750096,0,498077,0,0,261601,0,0,103,224757,0,529,0,0,0
236.5,6538,0,0,785314,0,328448,0,0,268495,0,0,26,297112,0,1039,0,0,0
237.5,5271,0,0,821269,0,206073,0,0,269562,0,0,6,373196,0,1996,0,0,0
238.5,4157,0,0,857696,0,123194,0,0,264768,0,0,1,444714,0,3748,0,0,0
239.5,3207,0,0,894276,0,70285,0,0,254468,0,0,0,502025,0,6850,0,0,0
240.5,2418,0,0,930622,0,38333,0,0,239365,0,0,0,536162,0,12148,0,0,0
241.5,1783,0,0,966280,0,20023,0,0,220428,0,0,0,541091,0,20842,0,0,0
