particle_size,1_25_1_00,1_25_1_01,1_25_1_02,1_25_2_00,1_25_2_01,1_25_2_02,2_25_1_00,2_25_1_01,2_25_1_02,2_25_2_00,2_25_2_01,2_25_2_02,3_25_1_00,3_25_1_01,3_25_1_02,3_25_2_00,3_25_2_01,3_25_2_02,4_25_1_00,4_25_1_01,4_25_1_02,4_25_2_00,4_25_2_01,4_25_2_02
191.5,0,632525,1700113,1082005,1017716,1224199,1110758,902851,817294,1152915,1993867,785472,1107311,915619,632822,1100245,1220628,1319076,3066714,2641911,2599189,3599238,3218390,2649303
192.5,0,603886,1653311,1068767,1050373,1221997,1090519,890720,853860,1063706,2038435,765334,1077132,883888,606729,1055662,1236244,1340955,3067329,2549537,2575026,3564361,3355274,2562535
193.5,0,578165,1605263,1056602,1084790,1221587,1068436,879664,891877,983835,2075548,748727,1046497,852210,582723,1011817,1250029,1360121,3068227,2458280,2549419,3529614,3493951,2478976
194.5,0,555210,1556204,1045351,1120743,1222744,1044552,869659,930888,912978,2104692,735601,1015694,820737,560860,968942,1261813,1376446,3069106,2368985,2522195,3494293,3632708,2398715
195.5,0,534876,1506371,1034869,1157976,1225244,1018941,860675,970378,850683,2125493,725900,984986,789614,541172,927242,1271448,1389850,3069660,2282378,2493215,3457649,3769671,2321811
196.5,0,517024,1456002,1025025,1196197,1228863,991704,852678,1009784,796426,2137720,719572,954609,758979,523667,886890,1278809,1400295,3069585,2199065,2462370,3418910,3902838,2248289
197.5,0,501526,1405331,1015706,1235077,1233384,962974,845630,1048505,749645,2141293,716565,924773,728954,508337,848033,1283795,1407790,3068577,2119539,2429586,3377318,4030118,2178146
198.5,0,488263,1354587,1006810,1274256,1238593,932908,839488,1085916,709779,2136280,716829,895656,699653,495160,810787,1286332,1412384,3066340,2044184,2394823,3332150,4149377,2111355
199.5,0,477127,1303993,998255,1313338,1244284,901686,834205,1121379,676288,2122884,720323,867407,671176,484103,775244,1286376,1414164,3062587,1973289,2358075,3282753,4258500,2047867
200.5,0,468019,1253762,989970,1351901,1250260,869508,829731,1154268,648671,2101442,727004,840146,643610,475126,741469,1283908,1413253,3057044,1907054,2319367,3228570,4355443,1987613
201.5,0,460855,1204095,981901,1389500,1256334,836586,826011,1183983,626469,2072405,736832,813966,617028,468185,709507,1278935,1409799,3049452,1845601,2278759,3169164,4438300,1930510
202.5,0,455558,1155180,974005,1425671,1262329,803147,822987,1209973,609277,2036322,749765,788933,591492,463234,679381,1271495,1403977,3039573,1788991,2236338,3104244,4505358,1876459
203.5,0,452064,1107191,966255,1459941,1268084,769418,820599,1231749,596741,1993826,765755,765091,567048,460223,651097,1261645,1395978,3027195,1737226,2192219,3033675,4555156,1825350
204.5,0,450317,1060284,958634,1491839,1273447,735628,818780,1248905,588558,1945613,784741,742464,543735,459101,624644,1249468,1386009,3012128,1690267,2146541,2957492,4586535,1777065
205.5,0,450272,1014598,951137,1520901,1278283,702001,817463,1261131,584470,1892422,806648,721056,521576,459816,600002,1235066,1374282,2994218,1648037,2099466,2875898,4598668,1731477
206.5,0,451892,970256,943766,1546682,1282469,668753,816578,1268215,584262,1835020,831378,700856,500586,462310,577136,1218559,1361013,2973340,1610431,2051174,2789264,4591098,1688454
207.5,0,455148,927359,936533,1568769,1285897,636086,816052,1270059,587753,1774179,858804,681840,480772,466525,556005,1200082,1346417,2949407,1577324,2001857,2698109,4563738,1647861
208.5,0,460016,885992,929458,1586789,1288472,604186,815808,1266670,594793,1710668,888764,663972,462131,472392,536562,1179779,1330704,2922366,1548573,1951721,2603089,4516882,1609559
209.5,0,466481,846223,922563,1600419,1290110,573221,815772,1258159,605250,1645232,921055,647207,444652,479835,518753,1157806,1314073,2892203,1524024,1900977,2504962,4451181,1573408
210.5,0,474528,808100,915877,1609395,1290740,543337,815865,1244735,619009,1578583,955427,631495,428322,488766,502524,1134323,1296717,2858941,1503517,1849839,2404567,4367622,1539268
211.5,0,484148,771656,909428,1613519,1290300,514659,816011,1226692,635956,1511387,991580,616777,413120,499079,487815,1109494,1278812,2822639,1486881,1798524,2302789,4267484,1506999
212.5,0,495332,736909,903249,1612666,1288738,487293,816131,1204396,655978,1444262,1029159,602994,399020,510654,474570,1083483,1260521,2783393,1473946,1747242,2200530,4152298,1476463
213.5,0,508071,703862,897370,1606785,1286009,461320,816149,1178269,678946,1377765,1067755,590082,385996,523345,462730,1056453,1241990,2741330,1464535,1696201,2098677,4023790,1447526
214.5,0,522353,672506,891822,1595903,1282073,436802,815991,1148773,704714,1312393,1106903,577976,374017,536986,452238,1028563,1223351,2696608,1458467,1645596,1998074,3883828,1420055
215.5,0,538164,642821,886630,1580122,1276897,413782,815586,1116395,733105,1248580,1146090,566611,363052,551381,443039,999969,1204718,2649412,1455560,1595614,1899505,3734362,1393921
216.5,0,555481,614777,881821,1559617,1270451,392283,814865,1081629,763909,1186697,1184759,555923,353068,566312,435079,970818,1186191,2599951,1455624,1546428,1803672,3577375,1369001
217.5,0,574275,588336,877414,1534633,1262709,372316,813765,1044968,796875,1127051,1222321,545847,344032,581529,428308,941251,1167850,2548449,1458466,1498200,1711183,3414829,1345176
218.5,0,594506,563451,873425,1505472,1253647,353877,812225,1006886,831707,1069891,1258164,536324,335912,596760,422676,911403,1149766,2495150,1463884,1451072,1622546,3248623,1322334
219.5,0,616123,540073,869865,1472490,1243243,336951,810195,967830,868060,1015410,1291670,527293,328675,611710,418139,881396,1131992,2440305,1471668,1405174,1538168,3080553,1300368
220.5,0,639057,518146,866740,1436086,1231480,321514,807625,928218,905544,963750,1322230,518700,322289,626066,414652,851349,1114568,2384170,1481598,1360619,1458354,2912280,1279177
221.5,0,663227,497613,864047,1396690,1218341,307536,804478,888423,943722,915005,1349264,510492,316723,639503,412173,821367,1097525,2327006,1493444,1317504,1383316,2745314,1258669
222.5,0,688530,478411,861779,1354755,1203815,294982,800720,848781,982119,869227,1372237,502620,311948,651695,410664,791551,1080879,2269069,1506960,1275910,1313179,2580991,1238758
223.5,0,714846,460481,859923,1310741,1187894,283816,796328,809580,1020228,826435,1390677,495040,307935,662320,410086,761990,1064639,2210609,1521890,1235904,1247991,2420470,1219366
224.5,0,742031,443759,858459,1265113,1170577,274000,791285,771069,1057520,786615,1404189,487711,304657,671075,410405,732767,1048805,2151870,1537963,1197537,1187736,2264728,1200423
225.5,0,769923,428184,857359,1218325,1151870,265497,785583,733451,1093458,749727,1412472,480596,302087,677682,411584,703957,1033369,2093081,1554893,1160849,1132341,2114563,1181869
226.5,0,798333,413696,856590,1170813,1131785,258274,779222,696891,1127506,715713,1415326,473665,300202,681901,413590,675626,1018316,2034458,1572382,1125865,1081691,1970606,1163649
227.5,0,827056,400233,856111,1122991,1110347,252301,772211,661516,1159150,684495,1412658,466890,298976,683536,416388,647836,1003627,1976202,1590118,1092600,1035636,1833327,1145718
228.5,0,855861,387738,855876,1075242,1087589,247553,764566,627423,1187908,655988,1404487,460247,298387,682449,419943,620641,989277,1918497,1607778,1061059,994004,1703049,1128039
229.5,0,884499,376155,855833,1027914,1063558,244011,756309,594677,1213343,630094,1390938,453719,298413,678561,424221,594088,975239,1861509,1625030,1031237,956605,1579966,1110585
230.5,0,912707,365431,855924,981319,1038313,241662,747473,563317,1235077,606712,1372240,447290,299032,671856,429185,568219,961482,1805383,1641537,1003122,923241,1464158,1093332
231.5,0,940204,355513,856085,935729,1011927,240502,738093,533362,1252800,585741,1348713,440950,300223,662383,434797,543071,947975,1750250,1656959,976693,893708,1355604,1076269
232.5,0,966702,346352,856249,891378,984486,240534,728212,504812,1266276,567075,1320756,434693,301965,650253,441016,518676,934683,1696220,1670958,951926,867805,1254201,1059388
233.5,0,991905,337903,856344,848460,956090,241768,717877,477653,1275349,550613,1288834,428515,304236,635635,447800,495060,921574,1643387,1683201,928791,845335,1159779,1042689
234.5,0,1015518,330121,856295,807132,926852,244223,707139,451859,1279939,536258,1253459,422415,307014,618749,455103,472246,908613,1591827,1693367,907253,826107,1072110,1026178
235.5,0,1037250,322965,856025,767516,896897,247927,696053,427393,1280048,523914,1215177,416397,310278,599854,462875,450250,895769,1541600,1701152,887274,809940,990928,1009867
236.5,0,1056821,316396,855456,729701,866359,252915,684675,404214,1275746,513493,1174546,410465,314003,579244,471065,429087,883009,1492754,1706274,868815,796660,915934,993772
237.5,0,1073966,310378,854508,693747,835382,259230,673065,382274,1267172,504911,1132128,404627,318165,557230,479616,408765,870305,1445321,1708475,851833,786107,846809,977911
238.5,0,1088444,304876,853104,659688,804116,266922,661282,361524,1254520,498089,1088468,398891,322738,534134,488468,389291,857628,1399323,1707534,836286,778126,783220,962309
239.5,0,1100038,299860,851167,627534,772714,276047,649384,341912,1238032,492955,1044085,393268,327696,510278,497556,370666,844953,1354769,1703262,822129,772575,724830,946992
240.5,0,1108568,295300,848623,597275,741333,286664,637431,323384,1217986,489440,999465,387770,333008,485972,506813,352888,832257,1311660,1695513,809318,769319,671303,931987
241.5,0,1113887,291168,845406,568886,710125,298835,625479,305890,1194687,487481,955048,382409,338644,461510,516169,335953,819521,1269988,1684186,797809,768231,622308,917323
242.5,0,1115891,287439,841450,542326,679242,312621,613585,289379,1168457,487017,911229,377199,344572,437159,525548,319854,806728,1229739,1669225,787555,769190,577523,903030
243.5,0,1114518,284090,836700,517547,648828,328080,601801,273800,1139624,487990,868350,372152,350756,413159,534875,304578,793862,1190893,1650621,778512,772082,536636,889137
244.5,0,1109750,281100,831107,494489,619018,345263,590178,259107,1108517,490346,826705,367281,357161,389717,544069,290113,780914,1153425,1628416,770637,776796,499353,875674
