particle_size,sample,filter,dilution_factor,tech_rep,values
478.5,mG15.5,yes,500,00,0
479.5,mG15.5,yes,500,00,0
480.5,mG15.5,yes,500,00,0
481.5,mG15.5,yes,500,00,0
482.5,mG15.5,yes,500,00,0
483.5,mG15.5,yes,500,00,0
484.5,mG15.5,yes,500,00,0
485.5,mG15.5,yes,500,00,0
486.5,mG15.5,yes,500,00,0
487.5,mG15.5,yes,500,00,0
488.5,mG15.5,yes,500,00,0
489.5,mG15.5,yes,500,00,0
490.5,mG15.5,yes,500,00,0
491.5,mG15.5,yes,500,00,0
492.5,mG15.5,yes,500,00,0
493.5,mG15.5,yes,500,00,0
494.5,mG15.5,yes,500,00,0
495.5,mG15.5,yes,500,00,0
496.5,mG15.5,yes,500,00,0
497.5,mG15.5,yes,500,00,0
498.5,mG15.5,yes,500,00,0
499.5,mG15.5,yes,500,00,0
500.5,mG15.5,yes,500,00,0
501.5,mG15.5,yes,500,00,0
502.5,mG15.5,yes,500,00,0
503.5,mG15.5,yes,500,00,0
504.5,mG15.5,yes,500,00,0
505.5,mG15.5,yes,500,00,0
506.5,mG15.5,yes,500,00,0
507.5,mG15.5,yes,500,00,0
508.5,mG15.5,yes,500,00,0
509.5,mG15.5,yes,500,00,0
510.5,mG15.5,yes,500,00,0
511.5,mG15.5,yes,500,00,0
512.5,mG15.5,yes,500,00,0
513.5,mG15.5,yes,500,00,0
514.5,mG15.5,yes,500,00,0
515.5,mG15.5,yes,500,00,0
516.5,mG15.5,yes,500,00,0
517.5,mG15.5,yes,500,00,0
518.5,mG15.5,yes,500,00,0
519.5,mG15.5,yes,500,00,0
520.5,mG15.5,yes,500,00,0
521.5,mG15.5,yes,500,00,0
522.5,mG15.5,yes,500,00,0
523.5,mG15.5,yes,500,00,0
524.5,mG15.5,yes,500,00,0
525.5,mG15.5,yes,500,00,0
526.5,mG15.5,yes,500,00,0
527.5,mG15.5,yes,500,00,0
528.5,mG15.5,yes,500,00,0
529.5,mG15.5,yes,500,00,0
530.5,mG15.5,yes,500,00,0
531.5,mG15.5,yes,500,00,0
532.5,mG15.5,yes,500,00,0
533.5,mG15.5,yes,500,00,0
534.5,mG15.5,yes,500,00,0
535.5,mG15.5,yes,500,00,0
536.5,mG15.5,yes,500,00,0
537.5,mG15.5,yes,500,00,0
538.5,mG15.5,yes,500,00,0
539.5,mG15.5,yes,500,00,0
540.5,mG15.5,yes,500,00,0
541.5,mG15.5,yes,500,00,0
542.5,mG15.5,yes,500,00,0
543.5,mG15.5,yes,500,00,0
544.5,mG15.5,yes,500,00,0
545.5,mG15.5,yes,500,00,0
546.5,mG15.5,yes,500,00,0
547.5,mG15.5,yes,500,00,0
548.5,mG15.5,yes,500,00,0
549.5,mG15.5,yes,500,00,0
550.5,mG15.5,yes,500,00,0
551.5,mG15.5,yes,500,00,0
552.5,mG15.5,yes,500,00,0
553.5,mG15.5,yes,500,00,0
554.5,mG15.5,yes,500,00,0
555.5,mG15.5,yes,500,00,0
556.5,mG15.5,yes,500,00,0
557.5,mG15.5,yes,500,00,0
558.5,mG15.5,yes,500,00,0
559.5,mG15.5,yes,500,00,0
560.5,mG15.5,yes,500,00,0
561.5,mG15.5,yes,500,00,0
562.5,mG15.5,yes,500,00,0
563.5,mG15.5,yes,500,00,0
564.5,mG15.5,yes,500,00,0
565.5,mG15.5,yes,500,00,0
566.5,mG15.5,yes,500,00,0
567.5,mG15.5,yes,500,00,0
568.5,mG15.5,yes,500,00,0
569.5,mG15.5,yes,500,00,0
570.5,mG15.5,yes,500,00,0
571.5,mG15.5,yes,500,00,0
572.5,mG15.5,yes,500,00,0
573.5,mG15.5,yes,500,00,0
574.5,mG15.5,yes,500,00,0
575.5,mG15.5,yes,500,00,0
576.5,mG15.5,yes,500,00,0
577.5,mG15.5,yes,500,00,0
578.5,mG15.5,yes,500,00,0
579.5,mG15.5,yes,500,00,0
580.5,mG15.5,yes,500,00,0
581.5,mG15.5,yes,500,00,0
582.5,mG15.5,yes,500,00,0
583.5,mG15.5,yes,500,00,0
584.5,mG15.5,yes,500,00,0
585.5,mG15.5,yes,500,00,0
586.5,mG15.5,yes,500,00,0
587.5,mG15.5,yes,500,00,0
588.5,mG15.5,yes,500,00,0
589.5,mG15.5,yes,500,00,0
590.5,mG15.5,yes,500,00,0
591.5,mG15.5,yes,500,00,0
592.5,mG15.5,yes,500,00,0
593.5,mG15.5,yes,500,00,0
594.5,mG15.5,yes,500,00,0
595.5,mG15.5,yes,500,00,0
596.5,mG15.5,yes,500,00,0
597.5,mG15.5,yes,500,00,0
598.5,mG15.5,yes,500,00,0
599.5,mG15.5,yes,500,00,0
600.5,mG15.5,yes,500,00,0
601.5,mG15.5,yes,500,00,0
602.5,mG15.5,yes,500,00,0
603.5,mG15.5,yes,500,00,0
604.5,mG15.5,yes,500,00,0
605.5,mG15.5,yes,500,00,0
606.5,mG15.5,yes,500,00,0
607.5,mG15.5,yes,500,00,0
608.5,mG15.5,yes,500,00,0
609.5,mG15.5,yes,500,00,0
610.5,mG15.5,yes,500,00,0
611.5,mG15.5,yes,500,00,0
612.5,mG15.5,yes,500,00,0
613.5,mG15.5,yes,500,00,0
614.5,mG15.5,yes,500,00,0
615.5,mG15.5,yes,500,00,0
616.5,mG15.5,yes,500,00,0
617.5,mG15.5,yes,500,00,0
618.5,mG15.5,yes,500,00,0
619.5,mG15.5,yes,500,00,0
620.5,mG15.5,yes,500,00,0
621.5,mG15.5,yes,500,00,0
622.5,mG15.5,yes,500,00,0
623.5,mG15.5,yes,500,00,0
624.5,mG15.5,yes,500,00,0
625.5,mG15.5,yes,500,00,0
626.5,mG15.5,yes,500,00,0
627.5,mG15.5,yes,500,00,0
628.5,mG15.5,yes,500,00,0
629.5,mG15.5,yes,500,00,0
630.5,mG15.5,yes,500,00,0
631.5,mG15.5,yes,500,00,0
632.5,mG15.5,yes,500,00,0
633.5,mG15.5,yes,500,00,0
634.5,mG15.5,yes,500,00,0
635.5,mG15.5,yes,500,00,0
636.5,mG15.5,yes,500,00,0
637.5,mG15.5,yes,500,00,0
638.5,mG15.5,yes,500,00,0
639.5,mG15.5,yes,500,00,0
640.5,mG15.5,yes,500,00,0
641.5,mG15.5,yes,500,00,0
642.5,mG15.5,yes,500,00,0
643.5,mG15.5,yes,500,00,0
644.5,mG15.5,yes,500,00,0
645.5,mG15.5,yes,500,00,0
646.5,mG15.5,yes,500,00,0
647.5,mG15.5,yes,500,00,0
648.5,mG15.5,yes,500,00,0
649.5,mG15.5,yes,500,00,0
650.5,mG15.5,yes,500,00,0
651.5,mG15.5,yes,500,00,0
652.5,mG15.5,yes,500,00,0
653.5,mG15.5,yes,500,00,0
654.5,mG15.5,yes,500,00,0
655.5,mG15.5,yes,500,00,0
656.5,mG15.5,yes,500,00,0
657.5,mG15.5,yes,500,00,0
658.5,mG15.5,yes,500,00,0
659.5,mG15.5,yes,500,00,0
660.5,mG15.5,yes,500,00,0
661.5,mG15.5,yes,500,00,0
662.5,mG15.5,yes,500,00,0
663.5,mG15.5,yes,500,00,0
664.5,mG15.5,yes,500,00,0
665.5,mG15.5,yes,500,00,0
666.5,mG15.5,yes,500,00,0
667.5,mG15.5,yes,500,00,0
668.5,mG15.5,yes,500,00,0
669.5,mG15.5,yes,500,00,0
670.5,mG15.5,yes,500,00,0
671.5,mG15.5,yes,500,00,0
672.5,mG15.5,yes,500,00,0
673.5,mG15.5,yes,500,00,0
674.5,mG15.5,yes,500,00,0
675.5,mG15.5,yes,500,00,0
676.5,mG15.5,yes,500,00,0
677.5,mG15.5,yes,500,00,0
678.5,mG15.5,yes,500,00,0
679.5,mG15.5,yes,500,00,0
680.5,mG15.5,yes,500,00,0
681.5,mG15.5,yes,500,00,0
682.5,mG15.5,yes,500,00,0
683.5,mG15.5,yes,500,00,0
684.5,mG15.5,yes,500,00,0
685.5,mG15.5,yes,500,00,0
686.5,mG15.5,yes,500,00,0
687.5,mG15.5,yes,500,00,0
688.5,mG15.5,yes,500,00,0
689.5,mG15.5,yes,500,00,0
690.5,mG15.5,yes,500,00,0
691.5,mG15.5,yes,500,00,0
692.5,mG15.5,yes,500,00,0
693.5,mG15.5,yes,500,00,0
694.5,mG15.5,yes,500,00,0
695.5,mG15.5,yes,500,00,0
696.5,mG15.5,yes,500,00,0
697.5,mG15.5,yes,500,00,0
698.5,mG15.5,yes,500,00,0
699.5,mG15.5,yes,500,00,0
700.5,mG15.5,yes,500,00,0
701.5,mG15.5,yes,500,00,0
702.5,mG15.5,yes,500,00,0
703.5,mG15.5,yes,500,00,0
704.5,mG15.5,yes,500,00,0
705.5,mG15.5,yes,500,00,0
706.5,mG15.5,yes,500,00,0
707.5,mG15.5,yes,500,00,0
708.5,mG15.5,yes,500,00,0
709.5,mG15.5,yes,500,00,0
710.5,mG15.5,yes,500,00,0
711.5,mG15.5,yes,500,00,0
712.5,mG15.5,yes,500,00,0
713.5,mG15.5,yes,500,00,0
714.5,mG15.5,yes,500,00,0
715.5,mG15.5,yes,500,00,0
716.5,mG15.5,yes,500,00,0
717.5,mG15.5,yes,500,00,0
718.5,mG15.5,yes,500,00,0
719.5,mG15.5,yes,500,00,0
720.5,mG15.5,yes,500,00,0
721.5,mG15.5,yes,500,00,0
722.5,mG15.5,yes,500,00,0
723.5,mG15.5,yes,500,00,0
724.5,mG15.5,yes,500,00,0
725.5,mG15.5,yes,500,00,0
726.5,mG15.5,yes,500,00,0
727.5,mG15.5,yes,500,00,0
728.5,mG15.5,yes,500,00,0
729.5,mG15.5,yes,500,00,0
